Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,$${counterbalance_group},,,,,,info,BEGIN,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,14219.700000000745,14203.4,14219.700000000745,14219.700000000745,14203.4,14219.700000000745,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Student,,,,,,,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,7065.0,7059.799999999997,7065.0,7065.0,7059.799999999997,7065.0,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Student,,,,,,,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,10240.599999999997,10223.899999999998,10240.599999999997,10240.599999999997,10223.899999999998,10240.599999999997,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Student,,,,,,,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,13284.700000000375,13270.700000000004,13284.700000000375,13284.700000000375,13270.700000000004,13284.700000000375,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Student,,,,,,,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,1277.0000000003708,1265.2999999999956,1277.0000000003708,1277.0000000003708,1265.2999999999956,1277.0000000003708,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Student,,,,,,,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,2203.9999999992583,2198.0,2203.9999999992583,2203.9999999992583,2198.0,2203.9999999992583,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Student,,,,,,,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1978.9999999992572,1964.8000000000034,1978.9999999992572,1978.9999999992572,1964.8000000000034,1978.9999999992572,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,1.0,s_sh_22_1,student_shared,hole puncher,1.0,competing,single,s_sh_22_1.jpg,Student,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,2.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1708.9000000003725,1698.3000000000034,1708.9000000003725,1708.9000000003725,1698.3000000000034,1708.9000000003725,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,2.0,s_sh_08_1,student_shared,post-its,1.0,competing,single,s_sh_08_1.jpg,Student,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,3.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,1180.6000000003696,1165.5,1180.6000000003696,1180.6000000003696,1165.5,1180.6000000003696,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,3.0,s_sh_10_1,student_shared,scissors,1.0,competing,paired,s_sh_10_1.jpg,Student,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,3.0,temp_dist_trial,dist_items,qkpkxw,2.0,info,,4.8999999996303805,0.0,4.8999999996303805,4.8999999996303805,0.0,4.8999999996303805,1.0,0.0,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,3.0,s_sh_10_1,student_shared,scissors,1.0,competing,paired,s_sh_10_1.jpg,Student,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,3.0,temp_dist_trial,dist_items,qkpkxw,2.0,continue,,4084.899999999631,4079.1000000000067,4084.899999999631,4084.899999999631,4079.1000000000067,4084.899999999631,1.0,0.0,0.0,,Click To Continue,Next button,7.0,object-60,temp_dist_trial,3.0,s_sh_10_1,student_shared,scissors,1.0,competing,paired,s_sh_10_1.jpg,Student,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,3.0,temp_dist_trial,dist_items,qkpkxw,2.0,response,50,2414.0,4079.1000000000067,4088.200000000376,2414.0,4079.1000000000067,4088.200000000376,1.0,1674.2000000003754,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,3.0,s_sh_10_1,student_shared,scissors,1.0,competing,paired,s_sh_10_1.jpg,Student,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,4.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,2430.799999999625,2414.5,2430.799999999625,2430.799999999625,2414.5,2430.799999999625,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,4.0,s_s_07_1,student_stem,periodic table,1.0,unique,paired,s_s_07_1.jpg,Student,,,sub-50
Desktop or Laptop,Windows 10,Chrome 137.0.0.0,1280x720,1280x720,Temporal Distance Task,cb_01,4.0,temp_dist_trial,dist_items,qkpkxw,2.0,info,,5.099999999627472,0.0,5.099999999627472,5.099999999627472,0.0,5.099999999627472,1.0,0.0,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,4.0,s_s_07_1,student_stem,periodic table,1.0,unique,paired,s_s_07_1.jpg,Student,,,sub-50
