Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,$${counterbalance_group},,,,,,info,BEGIN,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,5403.299999713898,5400.0,5403.299999713898,5403.299999713898,5400.0,5403.299999713898,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Travel,,,,,,,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,8683.300000000001,8666.6,8683.300000000001,8683.300000000001,8666.6,8683.300000000001,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Travel,,,,,,,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,6287.099999809265,6283.499999999997,6287.099999809265,6287.099999809265,6283.499999999997,6287.099999809265,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Travel,,,,,,,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,4583.4000000000015,4566.700000000002,4583.4000000000015,4583.4000000000015,4566.700000000002,4583.4000000000015,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Travel,,,,,,,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,987.7000000000007,983.2999999999993,987.7000000000007,987.7000000000007,983.2999999999993,987.7000000000007,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Travel,,,,,,,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,1239.2999996185315,1233.3000000000031,1239.2999996185315,1239.2999996185315,1233.3000000000031,1239.2999996185315,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Travel,,,,,,,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1785.9999996185288,1783.3999999999978,1785.9999996185288,1785.9999996185288,1783.3999999999978,1785.9999996185288,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,1.0,t_m_13_1,travel_Miami,floatie,10.0,unique,single,t_m_13_1.jpg,Travel,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,2.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,1272.599999618531,1266.7000000000007,1272.599999618531,1272.599999618531,1266.7000000000007,1272.599999618531,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,2.0,t_i_16_1,travel_Iceland,skis,10.0,unique,paired,t_i_16_1.jpg,Travel,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,2.0,temp_dist_trial,dist_items,qkpkxw,2.0,info,,6.999999618528818,0.0,6.999999618528818,6.999999618528818,0.0,6.999999618528818,1.0,0.0,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,2.0,t_i_16_1,travel_Iceland,skis,10.0,unique,paired,t_i_16_1.jpg,Travel,,,sub-34
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,958x910,Temporal Distance Task,cb_10,2.0,temp_dist_trial,dist_items,qkpkxw,2.0,continue,,2807.6999999046307,2800.0,2807.6999999046307,2807.6999999046307,2800.0,2807.6999999046307,1.0,0.0,0.0,,Click To Continue,Next button,7.0,object-60,temp_dist_trial,2.0,t_i_16_1,travel_Iceland,skis,10.0,unique,paired,t_i_16_1.jpg,Travel,,,sub-34
