Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,10710.699999999812,10707.5,10710.699999999812,10710.699999999812,10707.5,10710.699999999812,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,14754.299999999907,14751.7,14754.299999999907,14754.299999999907,14751.7,14754.299999999907,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,21012.7,21008.7,21012.7,21012.7,21008.7,21012.7,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,7284.700000000185,7282.099999999998,7284.700000000185,7284.700000000185,7282.099999999998,7284.700000000185,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,1230.4000000000015,1225.2000000000044,1230.4000000000015,1230.4000000000015,1225.2000000000044,1230.4000000000015,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Student,,,,,,,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,2928.400000000184,2925.2999999999956,2928.400000000184,2928.400000000184,2925.2999999999956,2928.400000000184,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Student,,,,,,,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1624.9000000000015,1618.9000000000015,1624.9000000000015,1624.9000000000015,1618.9000000000015,1624.9000000000015,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,1.0,s_sh_22_1,student_shared,hole puncher,1.0,competing,single,s_sh_22_1.jpg,Student,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,2.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1150.1999999998152,1143.9000000000015,1150.1999999998152,1150.1999999998152,1143.9000000000015,1150.1999999998152,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,2.0,s_sh_08_1,student_shared,post-its,1.0,competing,single,s_sh_08_1.jpg,Student,$${counterbalance_group},,sub-82
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,2560x1440,2327x1309,Temporal Distance Task,cb_01,3.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1186.8999999999069,1181.3000000000031,1186.8999999999069,1186.8999999999069,1181.3000000000031,1186.8999999999069,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,3.0,s_sh_10_1,student_shared,scissors,1.0,competing,paired,s_sh_10_1.jpg,Student,$${counterbalance_group},,sub-82
