Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,$${counterbalance_group},,,,,,info,BEGIN,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,3805.0,3800.9,3805.0,3805.0,3800.9,3805.0,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Student,,,,,,,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,1262.39999999702,1260.4000000000005,1262.39999999702,1262.39999999702,1260.4000000000005,1262.39999999702,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Student,,,,,,,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,1700.499999999999,1680.499999999999,1700.499999999999,1700.499999999999,1680.499999999999,1700.499999999999,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Student,,,,,,,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,5005.700000000002,5001.4000000000015,5005.700000000002,5005.700000000002,5001.4000000000015,5005.700000000002,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Student,,,,,,,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,863.1999999910588,860.0999999999983,863.1999999910588,863.1999999910588,860.0999999999983,863.1999999910588,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Student,,,,,,,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,905.900000002981,900.4000000000017,905.900000002981,905.900000002981,900.4000000000017,905.900000002981,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Student,,,,,,,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,1392.8999999940388,1380.2999999999995,1392.8999999940388,1392.8999999940388,1380.2999999999995,1392.8999999940388,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,1.0,s_sh_13_1,student_shared,index cards,7.0,competing,paired,s_sh_13_1.jpg,Student,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_dist_trial,dist_items,qkpkxw,2.0,info,,5.199999997021223,0.0,5.199999997021223,5.199999997021223,0.0,5.199999997021223,1.0,0.0,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,1.0,s_sh_13_1,student_shared,index cards,7.0,competing,paired,s_sh_13_1.jpg,Student,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_dist_trial,dist_items,qkpkxw,2.0,continue,,4456.600000002983,4441.0,4456.600000002983,4456.600000002983,4441.0,4456.600000002983,1.0,0.0,0.0,,Click To Continue,Next button,7.0,object-60,temp_dist_trial,1.0,s_sh_13_1,student_shared,index cards,7.0,competing,paired,s_sh_13_1.jpg,Student,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,1.0,temp_dist_trial,dist_items,qkpkxw,2.0,response,74,1740.4000000000015,4441.0,4456.999999994041,1740.4000000000015,4441.0,4456.999999994041,1.0,2716.5999999940395,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,1.0,s_sh_13_1,student_shared,index cards,7.0,competing,paired,s_sh_13_1.jpg,Student,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,2.0,temp_dist_trial,num_items,zn7si1,1.0,response,num_miss,3000.800000000003,3000.800000000003,3000.800000000003,3000.800000000003,3000.800000000003,3000.800000000003,1.0,0.0,0.0,num_miss_tag,Time Limit,screen,0.0,screen,temp_dist_trial,2.0,s_a_09_1,student_art,picture frame,7.0,unique,single,s_a_09_1.jpg,Student,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,3.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,2696.8999999910598,2680.7999999999993,2696.8999999910598,2696.8999999910598,2680.7999999999993,2696.8999999910598,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,3.0,s_sh_02_1,student_shared,eraser,7.0,competing,paired,s_sh_02_1.jpg,Student,,,sub-07
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1792x1344,894x1182,Temporal Distance Task,cb_07,3.0,temp_dist_trial,dist_items,qkpkxw,2.0,info,,4.800000002978777,0.0,4.800000002978777,4.800000002978777,0.0,4.800000002978777,1.0,0.0,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,3.0,s_sh_02_1,student_shared,eraser,7.0,competing,paired,s_sh_02_1.jpg,Student,,,sub-07
