Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,$${counterbalance_group},,,,,,info,BEGIN,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,8098.68,8089.059999999998,8098.68,8098.68,8089.059999999998,8098.68,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Student,,,,,,,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,26410.62000000001,26405.82,26410.62000000001,26410.62000000001,26405.82,26410.62000000001,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Student,,,,,,,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,7692.800000000002,7690.900000000002,7692.800000000002,7692.800000000002,7690.900000000002,7692.800000000002,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Student,,,,,,,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,6331.900000000002,6321.940000000002,6331.900000000002,6331.900000000002,6321.940000000002,6331.900000000002,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Student,,,,,,,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,1047.9599999999991,1033.3199999999997,1047.9599999999991,1047.9599999999991,1033.3199999999997,1047.9599999999991,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Student,,,,,,,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,1482.6399999999994,1468.5400000000006,1482.6399999999994,1482.6399999999994,1468.5400000000006,1482.6399999999994,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Student,,,,,,,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,2623.0999999999985,2618.540000000001,2623.0999999999985,2623.0999999999985,2618.540000000001,2623.0999999999985,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,1.0,s_sh_13_1,student_shared,index cards,7.0,competing,paired,s_sh_13_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,2.0,temp_dist_trial,num_items,zn7si1,1.0,response,num_miss,3001.7999999999956,3001.7999999999956,3001.7999999999956,3001.7999999999956,3001.7999999999956,3001.7999999999956,1.0,0.0,0.0,num_miss_tag,Time Limit,screen,0.0,screen,temp_dist_trial,2.0,s_a_09_1,student_art,picture frame,7.0,unique,single,s_a_09_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,3.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,2707.4199999999983,2703.799999999996,2707.4199999999983,2707.4199999999983,2703.799999999996,2707.4199999999983,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,3.0,s_sh_02_1,student_shared,eraser,7.0,competing,paired,s_sh_02_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,4.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1395.6200000000024,1383.3400000000033,1395.6200000000024,1395.6200000000024,1383.3400000000033,1395.6200000000024,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,4.0,s_sh_07_1,student_shared,ruler,7.0,competing,paired,s_sh_07_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,5.0,temp_dist_trial,num_items,zn7si1,1.0,response,num_miss,3003.759999999995,3003.759999999995,3003.759999999995,3003.759999999995,3003.759999999995,3003.759999999995,1.0,0.0,0.0,num_miss_tag,Time Limit,screen,0.0,screen,temp_dist_trial,5.0,s_s_16_1,student_stem,toolbox,7.0,unique,paired,s_s_16_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,6.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1379.179999999993,1368.479999999996,1379.179999999993,1379.179999999993,1368.479999999996,1379.179999999993,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,6.0,s_a_18_1,student_art,tutu,7.0,unique,paired,s_a_18_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,7.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,2401.699999999997,2385.1600000000035,2401.699999999997,2401.699999999997,2385.1600000000035,2401.699999999997,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,7.0,s_a_05_1,student_art,clay,7.0,unique,paired,s_a_05_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,8.0,temp_dist_trial,num_items,zn7si1,1.0,response,num_miss,3001.7999999999884,3001.7999999999884,3001.7999999999884,3001.7999999999884,3001.7999999999884,3001.7999999999884,1.0,0.0,0.0,num_miss_tag,Time Limit,screen,0.0,screen,temp_dist_trial,8.0,s_sh_04_1,student_shared,laptop stand,7.0,competing,single,s_sh_04_1.jpg,Student,,,sub-19
Desktop or Laptop,Windows 10,Firefox 140.0,2560x1440,2560x1315,Temporal Distance Task,cb_07,9.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,108.39999999999418,100.0,108.39999999999418,108.39999999999418,100.0,108.39999999999418,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,9.0,s_a_14_1,student_art,guitar pick,7.0,unique,paired,s_a_14_1.jpg,Student,,,sub-19
