Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,$${counterbalance_group},,,,,,info,BEGIN,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,4441.3600000000015,4431.299999999998,4441.3600000000015,4441.3600000000015,4431.299999999998,4441.3600000000015,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Travel,,,,,,,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,9905.06,9895.56,9905.06,9905.06,9895.56,9905.06,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Travel,,,,,,,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,2744.5,2732.0999999999985,2744.5,2744.5,2732.0999999999985,2744.5,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Travel,,,,,,,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,3940.400000000001,3931.5600000000013,3940.400000000001,3940.400000000001,3931.5600000000013,3940.400000000001,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Travel,,,,,,,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,1434.84,1432.6399999999994,1434.84,1434.84,1432.6399999999994,1434.84,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Travel,,,,,,,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,1575.2000000000005,1565.8600000000006,1575.2000000000005,1575.2000000000005,1565.8600000000006,1575.2000000000005,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Travel,,,,,,,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,1682.34,1666.0600000000013,1682.34,1682.34,1666.0600000000013,1682.34,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,1.0,t_i_05_1,travel_Iceland,hiking boots,6.0,unique,single,t_i_05_1.jpg,Travel,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_dist_trial,dist_items,qkpkxw,2.0,info,,6.4799999999995626,0.0,6.4799999999995626,6.4799999999995626,0.0,6.4799999999995626,1.0,0.0,0.0,,Slider,Slider,4.0,object-56,temp_dist_trial,1.0,t_i_05_1,travel_Iceland,hiking boots,6.0,unique,single,t_i_05_1.jpg,Travel,,,sub-20
Desktop or Laptop,Windows 10,Firefox 127.0,1280x720,1280x720,Temporal Distance Task,cb_06,1.0,temp_dist_trial,dist_items,qkpkxw,2.0,continue,,3454.48,3448.360000000001,3454.48,3454.48,3448.360000000001,3454.48,1.0,0.0,0.0,,Click To Continue,Next button,7.0,object-60,temp_dist_trial,1.0,t_i_05_1,travel_Iceland,hiking boots,6.0,unique,single,t_i_05_1.jpg,Travel,,,sub-20
