Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Task Name,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial,Spreadsheet: stimulus_id,Spreadsheet: expected_goal,Spreadsheet: stimulus_name,Spreadsheet: c_group,Spreadsheet: condition,Spreadsheet: paired_status,Spreadsheet: stimulus_path,Spreadsheet: block_type,Manipulation: Spreadsheet,Store: enc_test_acc,sub_label
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,$${counterbalance_group},,,,,,info,BEGIN,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen,3tnme7,1.0,continue,,10612.80000000149,10610.9,10612.80000000149,10612.80000000149,10610.9,10612.80000000149,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-29,temp_instructions,,,Student,,,,,,,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen_2,52v7ur,2.0,continue,,9378.3,9376.5,9378.3,9378.3,9376.5,9378.3,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-39,temp_instructions,,,Student,,,,,,,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,1.0,temp_instructions,intro_screen_3,i7lvwx,3.0,continue,,7109.20000000596,7106.200000000003,7109.20000000596,7109.20000000596,7106.200000000003,7109.20000000596,1.0,0.0,0.0,,Click To Continue,Continue Button,4.0,object-67,temp_instructions,,,Student,,,,,,,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,1.0,temp_instructions,test_q1,5ieqx1,4.0,response,choice_3,5625.5999999999985,5622.299999999997,5625.5999999999985,5625.5999999999985,5622.299999999997,5625.5999999999985,1.0,0.0,0.0,,Click Response,choice_3,5.0,object-345,temp_instructions,,,Student,,,,,,,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,1.0,temp_instructions,score_corr,7ilvjr,5.0,continue,,1040.2000000059634,1034.4000000000017,1040.2000000059634,1040.2000000059634,1034.4000000000017,1040.2000000059634,1.0,0.0,0.0,,Click To Continue,Continue Button,3.0,object-23,temp_instructions,,,Student,,,,,,,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,1.0,temp_eventStart,Screen 1,dgtyxe,1.0,continue,,1696.800000005962,1685.5,1696.800000005962,1696.800000005962,1685.5,1696.800000005962,1.0,0.0,0.0,,Click To Continue,Next Button,3.0,object-43,temp_eventStart,,,Student,,,,,,,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,1.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,2202.300000005962,2201.5999999999985,2202.300000005962,2202.300000005962,2201.5999999999985,2202.300000005962,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,1.0,s_sh_22_1,student_shared,hole puncher,1.0,competing,single,s_sh_22_1.jpg,Student,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,2.0,temp_dist_trial,num_items,zn7si1,1.0,response,1_ITEM,1800.2000000029807,1785.1999999999966,1800.2000000029807,1800.2000000029807,1785.1999999999966,1800.2000000029807,1.0,0.0,0.0,,Click Response,1_count,3.0,object-46,temp_dist_trial,2.0,s_sh_08_1,student_shared,post-its,1.0,competing,single,s_sh_08_1.jpg,Student,,,sub-51
Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,Temporal Distance Task,cb_01,3.0,temp_dist_trial,num_items,zn7si1,1.0,response,2_ITEM,1090.700000001489,1084.4000000000017,1090.700000001489,1090.700000001489,1084.4000000000017,1090.700000001489,1.0,0.0,0.0,,Click Response,2_count,5.0,object-49,temp_dist_trial,3.0,s_sh_10_1,student_shared,scissors,1.0,competing,paired,s_sh_10_1.jpg,Student,,,sub-51
