Current Spreadsheet,Trial Number,Display,Screen,Response Type,Response,Reaction Time,display,block,block_trial,stimulus_id,expected_goal,fold,stimulus_name,c_group,condition,within_block_dist,paired_status,stimulus_path,expected_location,block_split,respStim_1,respStim_2,sub_label,acc,both_enc_acc,assoc_stim1_acc,assoc_stim2_acc,x_pos,y_pos,time_trajectories
cb_03,1.0,enc_trial,stim,response,Iceland trip,1660.0000000000873,enc_trial,1.0,1.0,t_i_20_1,travel_Iceland,fold-b-single,lantern,3.0,unique,,single,t_i_20_1.jpg,Iceland,travel-b1,Iceland trip,Miami trip,sub-72,1.0,,1.0,,0.4937395659432388 0.4812186978297162 0.4824707846410685 0.4862270450751252 0.4924874791318865 0.5125208681135225 0.5212854757929883 0.5262938230383973 0.5300500834724541 0.5363105175292153 0.6076794657762938 0.6439899833055092 0.6565108514190316 0.6590150250417361 0.6602671118530884 0.6627712854757929 0.6652754590984974 0.6665275459098496 0.6677796327212019 0.6652754590984974 0.5550918196994992 0.4236227045075125 0.3459933222036728 0.2921535893155259 0.2658597662771285 0.25709515859766274 0.25709515859766274 0.2558430717863105 0.2558430717863105 0.25459098497495825 0.25459098497495825 0.2508347245409015 0.22203672787979964 0.1957429048414024 0.1832220367278798 0.179465776293823 0.17696160267111852 0.17070116861435725 0.16193656093489148 0.15191986644407346 0.14315525876460766 0.1419031719532554 0.14065108514190314 0.14065108514190314,0.7412353923205341 0.5592654424040067 0.4891485809682805 0.4056761268781303 0.37395659432387307 0.28046744574290483 0.23372287145242066 0.21869782971619367 0.21035058430717868 0.2053422370617696 0.21035058430717868 0.21702838063439067 0.21869782971619367 0.21869782971619367 0.21869782971619367 0.21702838063439067 0.21535893155258767 0.21535893155258767 0.21368948247078468 0.20868113522537568 0.1435726210350584 0.1452420701168614 0.1652754590984975 0.1702838063439065 0.1585976627712855 0.1519198664440734 0.1519198664440734 0.1535893155258765 0.1535893155258765 0.1535893155258765 0.1535893155258765 0.1552587646076795 0.1736227045075125 0.1869782971619366 0.19365609348914856 0.19365609348914856 0.19365609348914856 0.1903171953255426 0.1853088480801336 0.1769616026711185 0.1719532554257095 0.1702838063439065 0.1702838063439065 0.1702838063439065,583.2999999999884 603.2999999999884 623.2999999999884 643.2999999999884 663.2999999999884 683.2999999999884 703.2999999999884 723.2999999999884 743.2999999999884 763.2999999999884 783.2999999999884 803.2999999999884 823.2999999999884 843.2999999999884 863.2999999999884 883.2999999999884 903.2999999999884 923.2999999999884 943.2999999999884 963.2999999999884 983.2999999999884 1003.2999999999884 1023.2999999999884 1043.2999999999884 1063.2999999999884 1083.2999999999884 1103.2999999999884 1123.2999999999884 1143.2999999999886 1163.2999999999886 1183.2999999999886 1203.2999999999886 1223.2999999999886 1243.2999999999886 1263.2999999999886 1283.2999999999886 1303.2999999999886 1323.2999999999886 1343.2999999999886 1363.2999999999886 1383.2999999999884 1403.2999999999884 1423.2999999999884 1443.2999999999884
cb_03,2.0,enc_trial,stim,response,Iceland trip,3004.3999999999073,enc_trial,1.0,2.0,t_s_24_1,travel_shared,fold-c,ear plugs,3.0,competing,far,paired,t_s_24_1.jpg,,travel-b1,Iceland trip,Miami trip,sub-72,1.0,1.0,0.0,1.0,0.5162771285475793 0.5613522537562604 0.578881469115192 0.6227045075125208 0.6227045075125208 0.6677796327212019 0.6752921535893155 0.67779632721202 0.6790484140233722 0.6803005008347245 0.6815525876460767 0.6815525876460767 0.6815525876460767 0.6865609348914857 0.7504173622704506 0.8005008347245408 0.8067612687813022 0.8130217028380634 0.8155258764607679 0.8180300500834724 0.8205342237061769 0.8230383973288814 0.8255425709515859 0.8305509181969949 0.8330550918196994 0.8393155258764607 0.8418196994991652 0.8430717863105175 0.850584307178631 0.8568447412353922 0.8656093489148581 0.8668614357262103 0.8668614357262103 0.8681135225375626 0.8643572621035058 0.8643572621035058 0.8631051752921536 0.8618530884808013 0.8618530884808013 0.8580968280467445 0.5976627712854758 0.4974958263772955 0.4098497495826377 0.39232053422370616 0.3873121869782972 0.3810517529215359 0.3372287145242069 0.2395659432387312 0.11560934891485808 0.07053422370617694 0.019198664440734536 0.016694490818030032 0.014190317195325519 0.012938230383973265 0.012938230383973265 0.011686143572621013 0.011686143572621013 0.011686143572621013 0.010434056761268759 0.010434056761268759 0.012938230383973265 0.026711185308848057 0.04048414023372285 0.07804674457429046 0.09181969949916527 0.09808013355592653 0.09808013355592653 0.09808013355592653 0.09808013355592653 0.09808013355592653,0.7228714524207012 0.5409015025041737 0.4808013355592654 0.3756260434056762 0.3756260434056762 0.23038397328881466 0.19699499165275453 0.1886477462437396 0.1819699499165276 0.1803005008347245 0.1769616026711185 0.1769616026711185 0.1752921535893155 0.1769616026711185 0.21035058430717868 0.22704507512520866 0.22704507512520866 0.2253756260434057 0.22370617696160267 0.22370617696160267 0.22036727879799667 0.21869782971619367 0.21535893155258767 0.21035058430717868 0.2070116861435725 0.2020033388981636 0.1986644407345576 0.19699499165275453 0.1869782971619366 0.1786310517529215 0.1652754590984975 0.1636060100166945 0.1636060100166945 0.1636060100166945 0.1669449081803005 0.1669449081803005 0.1669449081803005 0.1669449081803005 0.1669449081803005 0.1652754590984975 0.10016694490818034 0.08180300500834725 0.10517529215358934 0.12186978297161932 0.12520868113522546 0.12854757929883145 0.12353923205342232 0.09849749582637736 0.08180300500834725 0.08347245409015025 0.10851419031719534 0.11185308848080132 0.11519198664440733 0.11686143572621033 0.11686143572621033 0.11686143572621033 0.11686143572621033 0.11686143572621033 0.11686143572621033 0.11686143572621033 0.12020033388981632 0.12854757929883145 0.13355592654424042 0.13522537562604342 0.13355592654424042 0.13021702838063445 0.13021702838063445 0.13021702838063445 0.12854757929883145 0.12854757929883145,516.6000000000058 536.6000000000058 556.6000000000058 576.6000000000057 596.6000000000057 616.6000000000057 636.6000000000057 656.6000000000057 676.6000000000057 696.6000000000058 716.6000000000058 736.6000000000058 756.6000000000058 776.6000000000058 796.6000000000058 816.6000000000058 836.6000000000058 856.6000000000058 876.6000000000058 896.6000000000058 916.6000000000058 936.6000000000058 956.6000000000058 976.6000000000058 996.6000000000058 1016.6000000000058 1036.6000000000058 1056.6000000000058 1076.6000000000058 1096.6000000000058 1116.6000000000058 1136.6000000000058 1156.6000000000058 1176.6000000000058 1196.6000000000058 1216.6000000000058 1236.6000000000058 1256.6000000000058 1276.6000000000058 1296.6000000000058 1316.6000000000058 1336.6000000000058 1356.6000000000058 1376.6000000000058 1396.6000000000058 1416.6000000000058 1436.6000000000058 1456.6000000000058 1476.6000000000058 1496.6000000000058 1516.6000000000058 1536.6000000000058 1556.6000000000058 1576.6000000000058 1596.6000000000058 1616.6000000000058 1636.6000000000058 1656.6000000000058 1676.6000000000058 1696.6000000000058 1716.6000000000058 1736.6000000000058 1756.6000000000058 1776.6000000000058 1796.6000000000058 1816.6000000000056 1836.6000000000056 1856.6000000000056 1876.6000000000056 1896.6000000000056
cb_03,3.0,enc_trial,stim,response,Iceland trip,2599.700000000012,enc_trial,1.0,3.0,t_s_02_1,travel_shared,fold-b,water bottle,3.0,competing,close,paired,t_s_02_1.jpg,,travel-b1,Iceland trip,Miami trip,sub-72,1.0,1.0,1.0,1.0,0.5400667779632721 0.5588480801335559 0.5976627712854758 0.6339732888146912 0.6815525876460767 0.7203672787979966 0.7178631051752921 0.7003338898163606 0.6803005008347245 0.6264607679465777 0.5338063439065108 0.4524207011686144 0.3535058430717863 0.3209515859766277 0.3121869782971619 0.3096828046744574 0.3096828046744574 0.3084307178631052 0.3084307178631052 0.3021702838063439 0.11936560934891485 0.10559265442404003 0.10058430717863104 0.09933222036727878 0.09808013355592653 0.05676126878130215 0.0016694490818029814 -0.012103505843071807 -0.012103505843071807 -0.012103505843071807 -0.012103505843071807 -0.012103505843071807 -0.012103505843071807 -0.012103505843071807 0.05926544240400665 0.10308848080133554 0.11185308848080132 0.11936560934891485 0.16318864774624373 0.22454090150250414 0.4123539232053423 0.4511686143572621 0.4762103505843072 0.4924874791318865 0.5112687813021702 0.5162771285475793 0.5162771285475793 0.5162771285475793 0.5162771285475793 0.5162771285475793 0.5150250417362271 0.5150250417362271 0.5137729549248748 0.5137729549248748 0.5087646076794657 0.5012520868113522 0.5012520868113522 0.5012520868113522 0.4937395659432388 0.4749582637729549 0.34724540901502504 0.21702838063439064 0.1419031719532554 0.053005008347245385 0.026711185308848057 0.020450751252086792 0.020450751252086792 0.019198664440734536 0.019198664440734536 0.019198664440734536 0.019198664440734536 0.019198664440734536 0.019198664440734536 0.019198664440734536 0.02170283806343904 0.04549248747913186 0.055509181969949896 0.06176961602671116 0.06552587646076792 0.06552587646076792 0.06677796327212017 0.06803005008347242 0.06928213689482468 0.07178631051752919 0.07303839732888145 0.07679465776293821 0.07804674457429046 0.08055091819699498 0.08055091819699498,0.7462437395659433 0.676126878130217 0.5809682804674458 0.4974958263772955 0.3572621035058431 0.20868113522537568 0.19365609348914856 0.1602671118530885 0.13856427378964942 0.11853088480801333 0.13355592654424042 0.1752921535893155 0.27045075125208684 0.335559265442404 0.37395659432387307 0.3839732888146912 0.3839732888146912 0.3839732888146912 0.3839732888146912 0.3789649415692822 0.1719532554257095 0.1585976627712855 0.1552587646076795 0.1552587646076795 0.1552587646076795 0.10517529215358934 0.023372287145242088 0.0016694490818029983 0.0016694490818029983 0.0016694490818029983 0.0016694490818029983 0.0016694490818029983 0.0016694490818029983 0.0016694490818029983 0.013355592654423987 0.013355592654423987 0.011686143572620988 0.011686143572620988 0.03005008347245408 0.08681135225375625 0.25709515859766274 0.2854757929883138 0.3021702838063439 0.3121869782971619 0.323873121869783 0.325542570951586 0.325542570951586 0.325542570951586 0.325542570951586 0.325542570951586 0.323873121869783 0.323873121869783 0.323873121869783 0.32220367278798 0.3121869782971619 0.2871452420701168 0.28213689482470783 0.27545909849749584 0.2437395659432388 0.20868113522537568 0.1552587646076795 0.13689482470784642 0.1519198664440734 0.1886477462437396 0.20367278797996646 0.20868113522537568 0.21035058430717868 0.21035058430717868 0.21035058430717868 0.21035058430717868 0.21035058430717868 0.21035058430717868 0.21035058430717868 0.21035058430717868 0.21035058430717868 0.19699499165275453 0.1903171953255426 0.1836393989983306 0.1803005008347245 0.1786310517529215 0.1752921535893155 0.1736227045075125 0.1736227045075125 0.1719532554257095 0.1702838063439065 0.1669449081803005 0.1669449081803005 0.1652754590984975 0.1652754590984975,616.7000000000116 636.7000000000116 656.7000000000116 676.7000000000116 696.7000000000116 716.7000000000116 736.7000000000116 756.7000000000116 776.7000000000116 796.7000000000116 816.7000000000116 836.7000000000116 856.7000000000116 876.7000000000116 896.7000000000116 916.7000000000116 936.7000000000116 956.7000000000116 976.7000000000116 996.7000000000116 1016.7000000000116 1036.7000000000116 1056.7000000000116 1076.7000000000116 1096.7000000000116 1116.7000000000116 1136.7000000000114 1156.7000000000114 1176.7000000000114 1196.7000000000114 1216.7000000000114 1236.7000000000114 1256.7000000000114 1276.7000000000114 1296.7000000000114 1316.7000000000114 1336.7000000000114 1356.7000000000114 1376.7000000000116 1396.7000000000116 1416.7000000000116 1436.7000000000116 1456.7000000000116 1476.7000000000116 1496.7000000000116 1516.7000000000116 1536.7000000000116 1556.7000000000116 1576.7000000000116 1596.7000000000116 1616.7000000000116 1636.7000000000116 1656.7000000000116 1676.7000000000116 1696.7000000000116 1716.7000000000116 1736.7000000000116 1756.7000000000116 1776.7000000000116 1796.7000000000116 1816.7000000000119 1836.7000000000119 1856.7000000000119 1876.7000000000119 1896.7000000000119 1916.7000000000119 1936.7000000000119 1956.7000000000119 1976.7000000000119 1996.7000000000119 2016.7000000000119 2036.7000000000119 2056.700000000012 2076.700000000012 2096.700000000012 2116.700000000012 2136.700000000012 2156.700000000012 2176.700000000012 2196.700000000012 2216.700000000012 2236.700000000012 2256.700000000012 2276.700000000012 2296.700000000012 2316.700000000012 2336.700000000012 2356.700000000012 2376.700000000012
cb_03,4.0,enc_trial,stim,response,Iceland trip,1675.7999999999884,enc_trial,1.0,4.0,t_i_15_1,travel_Iceland,fold-a,compass,3.0,unique,far,paired,t_i_15_1.jpg,Iceland,travel-b1,Iceland trip,Miami trip,sub-72,1.0,1.0,1.0,1.0,0.5112687813021702 0.5763772954924875 0.5876460767946577 0.5763772954924875 0.5500834724540902 0.479966611018364 0.4273789649415693 0.3722871452420701 0.26836393989983304 0.26836393989983304 0.16569282136894822 0.1581803005008347 0.1556761268781302 0.15442404006677796 0.15442404006677796 0.15692821368948245 0.1581803005008347 0.1581803005008347 0.15943238731218695 0.16193656093489148 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.16318864774624373 0.1581803005008347 0.1556761268781302 0.1556761268781302,0.7929883138564273 0.647746243739566 0.5909849749582639 0.4490818030050083 0.330550918196995 0.1502504173622704 0.08347245409015025 0.05175292153589317 0.026711185308848084 0.026711185308848084 0.11018363939899832 0.13355592654424042 0.1419031719532554 0.1435726210350584 0.1452420701168614 0.1535893155258765 0.1569282136894825 0.1585976627712855 0.1602671118530885 0.1652754590984975 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1686143572621035 0.1702838063439065,799.0999999999768 819.0999999999768 839.0999999999768 859.0999999999768 879.0999999999768 899.0999999999768 919.0999999999768 939.0999999999768 959.0999999999768 979.0999999999768 999.0999999999768 1019.0999999999768 1039.0999999999767 1059.0999999999767 1079.0999999999767 1099.0999999999767 1119.0999999999767 1139.0999999999767 1159.0999999999767 1179.0999999999767 1199.0999999999767 1219.0999999999767 1239.0999999999767 1259.0999999999767 1279.0999999999767 1299.0999999999767 1319.0999999999767 1339.0999999999767 1359.0999999999767 1379.0999999999767 1399.0999999999767 1419.0999999999767 1439.0999999999767
cb_03,5.0,enc_trial,stim,response,Miami trip,1275.6999999999534,enc_trial,1.0,5.0,t_s_23_1,travel_shared,fold-c,ball cap,3.0,competing,far,paired,t_s_23_1.jpg,,travel-b1,Iceland trip,Miami trip,sub-72,1.0,1.0,0.0,1.0,0.5175292153589316 0.5425709515859767 0.5813856427378965 0.6602671118530884 0.7216193656093488 0.8343071786310517 0.8643572621035058 0.8718697829716193 0.8731218697829716 0.8743739565943238 0.8743739565943238 0.8743739565943238 0.8743739565943238 0.8743739565943238 0.8743739565943238 0.8743739565943238 0.8768781302170283 0.8781302170283806 0.8793823038397328 0.8793823038397328 0.8793823038397328 0.8793823038397328,0.8113522537562604 0.7395659432387311 0.6460767946577629 0.5091819699499165 0.4273789649415693 0.24707846410684475 0.1769616026711185 0.1519198664440734 0.1435726210350584 0.14023372287145242 0.13522537562604342 0.13522537562604342 0.13522537562604342 0.13355592654424042 0.13355592654424042 0.13021702838063445 0.12353923205342232 0.12020033388981632 0.11686143572621033 0.11686143572621033 0.11519198664440733 0.11519198664440733,599.8999999999943 619.8999999999943 639.8999999999943 659.8999999999943 679.8999999999943 699.8999999999942 719.8999999999942 739.8999999999942 759.8999999999942 779.8999999999942 799.8999999999942 819.8999999999942 839.8999999999942 859.8999999999942 879.8999999999942 899.8999999999942 919.8999999999944 939.8999999999944 959.8999999999944 979.8999999999944 999.8999999999944 1019.8999999999944
cb_03,6.0,enc_trial,stim,response,Iceland trip,2025.7000000000119,enc_trial,1.0,6.0,t_s_04_2,travel_shared,fold-c,instant camera,3.0,competing,far,paired,t_s_04_2.jpg,,travel-b1,Iceland trip,Miami trip,sub-72,1.0,1.0,1.0,0.0,0.5262938230383973 0.5438230383973289 0.5763772954924875 0.593906510851419 0.6014190317195326 0.6039232053422371 0.5475792988313857 0.39482470784641066 0.2921535893155259 0.19949916527545908 0.11936560934891485 0.1068447412353923 0.10559265442404003 0.1043405676126878 0.1043405676126878 0.10308848080133554 0.10183639398998327 0.10058430717863104 0.09933222036727878 0.09933222036727878 0.09808013355592653 0.09808013355592653 0.09808013355592653 0.09808013355592653 0.09808013355592653 0.10058430717863104 0.10058430717863104 0.10308848080133554 0.1068447412353923 0.11560934891485808 0.24457429048414026 0.27712854757929883 0.2846410684474123 0.2971619365609349 0.30342237061769617 0.3084307178631052 0.3084307178631052 0.3084307178631052 0.3084307178631052 0.2921535893155259 0.16569282136894822 0.1556761268781302 0.14315525876460766 0.14065108514190314 0.13814691151919864 0.1368948247078464,0.6911519198664441 0.6210350584307178 0.4791318864774624 0.3572621035058431 0.25375626043405675 0.13188647746243742 0.10016694490818034 0.08347245409015025 0.10183639398998334 0.13522537562604342 0.1519198664440734 0.1485809682804674 0.1485809682804674 0.1485809682804674 0.1502504173622704 0.1519198664440734 0.1535893155258765 0.1535893155258765 0.1552587646076795 0.1569282136894825 0.1569282136894825 0.1569282136894825 0.1569282136894825 0.1585976627712855 0.1585976627712855 0.1602671118530885 0.1602671118530885 0.1602671118530885 0.1602671118530885 0.1602671118530885 0.20367278797996646 0.21035058430717868 0.21202003338898168 0.21035058430717868 0.20868113522537568 0.2070116861435725 0.2053422370617696 0.2053422370617696 0.20367278797996646 0.19699499165275453 0.1819699499165276 0.1803005008347245 0.1786310517529215 0.1786310517529215 0.1786310517529215 0.1786310517529215,881.9000000000232 901.9000000000232 921.9000000000232 941.9000000000232 961.9000000000232 981.9000000000232 1001.9000000000232 1021.9000000000232 1041.9000000000233 1061.9000000000233 1081.9000000000233 1101.9000000000233 1121.9000000000233 1141.9000000000233 1161.9000000000233 1181.9000000000233 1201.9000000000233 1221.9000000000233 1241.9000000000233 1261.9000000000233 1281.9000000000233 1301.9000000000233 1321.9000000000233 1341.9000000000233 1361.9000000000233 1381.9000000000233 1401.9000000000233 1421.9000000000233 1441.9000000000233 1461.9000000000233 1481.9000000000233 1501.9000000000233 1521.9000000000233 1541.9000000000233 1561.9000000000233 1581.9000000000233 1601.9000000000233 1621.9000000000233 1641.9000000000233 1661.9000000000233 1681.9000000000233 1701.9000000000233 1721.9000000000233 1741.9000000000233 1761.9000000000233 1781.9000000000233
cb_03,7.0,enc_trial,stim,response,Miami trip,1460.2999999999884,enc_trial,1.0,7.0,t_m_04_1,travel_Miami,fold-e,UV jacket,3.0,unique,close,paired,t_m_04_1.jpg,Miami,travel-b1,Iceland trip,Miami trip,sub-72,0.0,0.0,1.0,0.0,0.5680538172715895 0.6093554443053817 0.6637984981226533 0.7341989987484355 0.7708072590738423 0.7970901126408009 0.8346370463078849 0.8412077596996246 0.8468397997496871 0.8562265331664581 0.8599812265331664 0.8618585732165207 0.8618585732165207 0.8618585732165207 0.8618585732165207 0.8618585732165207,0.7484355444305382 0.6558197747183979 0.5481852315394242 0.3842302878598248 0.2991239048811014 0.2415519399249061 0.16896120150187732 0.1589486858573217 0.15394242803504374 0.14518147684605753 0.14142678347934926 0.14017521902377972 0.1389236545682102 0.1389236545682102 0.1389236545682102 0.1389236545682102,866.0999999999768 886.0999999999768 906.0999999999768 926.0999999999768 946.0999999999768 966.0999999999768 986.0999999999768 1006.0999999999768 1026.0999999999767 1046.0999999999767 1066.0999999999767 1086.0999999999767 1106.0999999999767 1126.0999999999767 1146.0999999999767 1166.0999999999767
cb_03,8.0,enc_trial,stim,response,Iceland trip,1346.8000000001048,enc_trial,1.0,8.0,t_i_19_1,travel_Iceland,fold-b-single,rope,3.0,unique,,single,t_i_19_1.jpg,Iceland,travel-b1,Iceland trip,Miami trip,sub-72,1.0,,1.0,,0.4525969962453066 0.3418335419274092 0.2742490613266583 0.18695244055068835 0.13814142678347932 0.06867959949937419 0.05178347934918645 0.04333541927409258 0.0405193992490613 0.03488735919899871 0.03113266583229033 0.029255319148936136 0.029255319148936136 0.027377972465581945 0.027377972465581945 0.02550062578222775 0.02550062578222775 0.02550062578222775 0.03207133917396743 0.048967459324155166 0.06867959949937419 0.07712765957446806 0.08557571964956193 0.0902690863579474 0.0940237797246558 0.10247183979974966 0.10528785982478096 0.11185857321652062 0.12124530663329156 0.12875469336670836 0.12875469336670836,0.7284105131414268 0.5381727158948686 0.4155193992490613 0.2315394242803505 0.1339173967459324 0.025031289111389188 0.015018773466833557 0.015018773466833557 0.018773466833541967 0.030037546933667118 0.052565707133917394 0.06132665832290363 0.06382978723404252 0.06633291614518144 0.06633291614518144 0.06633291614518144 0.06633291614518144 0.06758448060075095 0.0801001251564456 0.10387984981226528 0.12015018773466835 0.12515644555694616 0.12765957446808507 0.12891113892365458 0.13016270337922398 0.13016270337922398 0.13141426783479349 0.1339173967459324 0.1376720901126408 0.14142678347934926 0.14142678347934926,548.7000000000116 568.7000000000116 588.7000000000116 608.7000000000116 628.7000000000116 648.7000000000116 668.7000000000116 688.7000000000116 708.7000000000116 728.7000000000116 748.7000000000116 768.7000000000116 788.7000000000116 808.7000000000116 828.7000000000116 848.7000000000116 868.7000000000116 888.7000000000116 908.7000000000116 928.7000000000116 948.7000000000116 968.7000000000116 988.7000000000116 1008.7000000000116 1028.7000000000116 1048.7000000000116 1068.7000000000116 1088.7000000000116 1108.7000000000116 1128.7000000000114 1148.7000000000114
cb_03,9.0,enc_trial,stim,response,Iceland trip,2219.200000000012,enc_trial,1.0,9.0,t_s_11_1,travel_shared,fold-a-single,eye mask,3.0,competing,,single,t_s_11_1.jpg,,travel-b1,Iceland trip,Miami trip,sub-72,1.0,,1.0,,0.4845118898623279 0.4629224030037547 0.4610450563204005 0.4638610763454318 0.4967146433041302 0.5971526908635795 0.7013454317897372 0.7360763454317898 0.7501564455569462 0.7520337922403004 0.7266896120150188 0.6300062578222778 0.5502190237797246 0.4676157697121402 0.3249374217772215 0.14846683354192738 0.13438673341677093 0.13438673341677093 0.13438673341677093 0.17381101376720898 0.329630788485607 0.4103566958698373 0.5567897371714643 0.6741239048811014 0.8177409261576971 0.9097309136420526 0.9341364205256572 0.9378911138923656 0.9397684605757196 0.9397684605757196 0.9388297872340424 0.9388297872340424 0.9388297872340424 0.9388297872340424 0.9388297872340424 0.9388297872340424 0.9407071339173968 0.9407071339173968 0.941645807259074 0.941645807259074 0.922872340425532 0.922872340425532 0.922872340425532 0.913485607008761 0.9087922403003756 0.8815707133917396 0.679755944931164 0.6121714643304129 0.6121714643304129 0.6121714643304129 0.6121714643304129 0.6121714643304129 0.10247183979974966 0.10247183979974966 0.10341051314142677 0.10716520650813514 0.10716520650813514 0.10622653316645804 0.10528785982478096 0.10434918648310383 0.10153316645807256 0.10528785982478096 0.11279724655819773 0.11373591989987482 0.11373591989987482 0.11373591989987482,0.7734668335419275 0.7008760951188986 0.6408010012515645 0.623279098873592 0.5694618272841051 0.4818523153942428 0.4067584480600751 0.3654568210262829 0.3354192740926157 0.3304130162703379 0.31163954943679595 0.2816020025031289 0.2740926157697121 0.2640801001251565 0.2590738423028785 0.31289111389236546 0.3229036295369212 0.3229036295369212 0.3229036295369212 0.3516896120150188 0.376720901126408 0.3516896120150188 0.3103879849812265 0.2891113892365457 0.25657071339173965 0.20275344180225285 0.17396745932415525 0.1652065081351689 0.15644555694618267 0.15394242803504374 0.15143929912390486 0.15018773466833546 0.15018773466833546 0.14893617021276595 0.14893617021276595 0.14768460575719644 0.14518147684605753 0.14392991239048816 0.14142678347934926 0.1389236545682102 0.1339173967459324 0.1339173967459324 0.1339173967459324 0.1376720901126408 0.1389236545682102 0.1351689612015019 0.05006257822277849 0.018773466833541967 0.018773466833541967 0.018773466833541967 0.018773466833541967 0.018773466833541967 0.0012515644555695091 0.0012515644555695091 0.008760951188986229 0.03254067584480602 0.03254067584480602 0.03379224030037542 0.03504380475594493 0.03629536921151444 0.07634543178973717 0.1389236545682102 0.195244055068836 0.20901126408010007 0.2102628285356696 0.2115143929912391,499.0 519.0 539.0 559.0 579.0 599.0 619.0 639.0 659.0 679.0 699.0 719.0 739.0 759.0 779.0 799.0 819.0 839.0 859.0 879.0 899.0 919.0 939.0 959.0 979.0 999.0 1019.0 1039.0 1059.0 1079.0 1099.0 1119.0 1139.0 1159.0 1179.0 1199.0 1219.0 1239.0 1259.0 1279.0 1299.0 1319.0 1339.0 1359.0 1379.0 1399.0 1419.0 1439.0 1459.0 1479.0 1499.0 1519.0 1539.0 1559.0 1579.0 1599.0 1619.0 1639.0 1659.0 1679.0 1699.0 1719.0 1739.0 1759.0 1779.0 1799.0
cb_03,10.0,enc_trial,stim,response,Miami trip,1999.7999999999595,enc_trial,1.0,10.0,t_s_02_2,travel_shared,fold-b,water bottle,3.0,competing,close,paired,t_s_02_2.jpg,,travel-b1,Iceland trip,Miami trip,sub-72,1.0,1.0,1.0,1.0,0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5117334167709637 0.5089173967459324 0.494837296620776 0.5042240300375469 0.543648310387985 0.5868272841051314 0.6093554443053817 0.7529724655819775 0.7895807259073843 0.8149249061326659 0.8186795994993742 0.8205569461827285 0.8205569461827285 0.8196182728410514 0.8102315394242804 0.7980287859824782 0.7970901126408009 0.7952127659574468 0.7952127659574468 0.7952127659574468 0.7952127659574468 0.7961514392991239 0.8008448060075094 0.8036608260325407 0.8102315394242804 0.8149249061326659 0.8214956195244055 0.8327596996245307,0.851063829787234 0.8485607008760951 0.8485607008760951 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.8473091364205256 0.6983729662077597 0.4555694618272841 0.4267834793491865 0.3742177722152691 0.3516896120150188 0.3454317897371715 0.2753441802252816 0.2578222778473092 0.2390488110137672 0.2315394242803505 0.2252816020025032 0.22152690863579472 0.2177722152690864 0.1927409261576971 0.1602002503128911 0.15644555694618267 0.14768460575719644 0.14643304130162704 0.14518147684605753 0.14392991239048816 0.14267834793491865 0.14017521902377972 0.14017521902377972 0.1389236545682102 0.1389236545682102 0.1389236545682102 0.1389236545682102,549.8999999999942 569.8999999999943 589.8999999999943 609.8999999999943 629.8999999999943 649.8999999999943 669.8999999999943 689.8999999999942 709.8999999999942 729.8999999999942 749.8999999999942 769.8999999999942 789.8999999999942 809.8999999999942 829.8999999999942 849.8999999999942 869.8999999999942 889.8999999999942 909.8999999999942 929.8999999999942 949.8999999999942 969.8999999999942 989.8999999999942 1009.8999999999942 1029.8999999999942 1049.8999999999942 1069.8999999999942 1089.8999999999942 1109.8999999999942 1129.8999999999942 1149.8999999999942 1169.8999999999942 1189.8999999999942 1209.8999999999942 1229.8999999999942 1249.8999999999942 1269.8999999999942 1289.8999999999942 1309.8999999999942 1329.8999999999942 1349.8999999999942 1369.8999999999942 1389.8999999999942 1409.8999999999942 1429.8999999999942 1449.8999999999942 1469.8999999999942 1489.8999999999942 1509.8999999999942 1529.8999999999942 1549.8999999999942 1569.8999999999942 1589.8999999999942 1609.8999999999942 1629.8999999999942 1649.8999999999942 1669.8999999999942 1689.8999999999942 1709.8999999999942 1729.8999999999942 1749.8999999999942
