Current Spreadsheet,Trial Number,Display,Screen,Response Type,Response,Reaction Time,display,block,block_trial,stimulus_id,expected_goal,fold,stimulus_name,c_group,condition,within_block_dist,paired_status,stimulus_path,expected_location,block_split,respStim_1,respStim_2,sub_label,acc,both_enc_acc,assoc_stim1_acc,assoc_stim2_acc,x_pos,y_pos,time_trajectories
cb_02,1.0,enc_trial,stim,response,STEM students,1754.2000000715198,enc_trial,1.0,1.0,s_s_10_1,student_stem,fold-c-single,3d molecule,2.0,unique,,single,s_s_10_1.jpg,stem,student-b1,STEM students,Fine Arts students,sub-75,1.0,,1.0,,0.5493055555555556 0.5493055555555556 0.5486111111111112 0.5486111111111112 0.5486111111111112 0.5486111111111112 0.5451388888888888 0.5409722222222222 0.5256944444444445 0.5131944444444444 0.4722222222222222 0.4520833333333333 0.4423611111111111 0.4381944444444445 0.43472222222222223 0.4138888888888889 0.4118055555555555 0.4118055555555555 0.4118055555555555 0.4118055555555555 0.4111111111111111 0.4111111111111111 0.4097222222222222 0.3979166666666665 0.3888888888888889 0.3673611111111112 0.3541666666666667 0.34652777777777777 0.33541666666666664 0.3229166666666667 0.27847222222222223 0.2458333333333333 0.2222222222222222 0.19583333333333333 0.18472222222222226 0.18819444444444444 0.22291666666666668 0.2951388888888889 0.4013888888888889 0.5131944444444444 0.7 0.7423611111111111 0.7493055555555556 0.7493055555555556 0.7493055555555556 0.7402777777777778 0.7208333333333333 0.6923611111111111 0.6375 0.5381944444444444 0.2673611111111111 0.1625 0.12708333333333333 0.11736111111111112 0.11736111111111112 0.11736111111111112 0.11736111111111112 0.11736111111111112 0.11736111111111112 0.11597222222222225 0.11388888888888887 0.11388888888888887 0.11527777777777776 0.11666666666666667 0.11805555555555555 0.11875 0.12361111111111113 0.12777777777777774 0.1284722222222222,0.8453703703703703 0.8444444444444444 0.8416666666666667 0.8388888888888889 0.8277777777777777 0.7898148148148147 0.7592592592592593 0.7240740740740741 0.6518518518518519 0.5777777777777777 0.4342592592592592 0.38703703703703707 0.3657407407407407 0.3592592592592593 0.3527777777777777 0.3305555555555556 0.3296296296296296 0.3296296296296296 0.3296296296296296 0.3296296296296296 0.3296296296296296 0.33333333333333337 0.3388888888888889 0.35 0.3564814814814815 0.3648148148148148 0.3666666666666667 0.3629629629629629 0.3564814814814815 0.3462962962962963 0.3064814814814815 0.2768518518518519 0.2518518518518519 0.22685185185185186 0.21111111111111114 0.19259259259259254 0.1777777777777778 0.16388888888888886 0.14814814814814814 0.13611111111111107 0.12592592592592589 0.12314814814814813 0.12314814814814813 0.12314814814814813 0.12314814814814813 0.12314814814814813 0.12685185185185188 0.12870370370370365 0.13703703703703707 0.15462962962962967 0.21944444444444444 0.2611111111111111 0.2685185185185185 0.2685185185185185 0.2685185185185185 0.2675925925925926 0.2666666666666667 0.2657407407407407 0.26481481481481484 0.2620370370370371 0.2574074074074074 0.2518518518518519 0.2444444444444445 0.2324074074074074 0.2277777777777777 0.2148148148148148 0.1972222222222222 0.18333333333333326 0.1805555555555556,383.3999999999942 403.3999999999942 423.3999999999942 443.3999999999942 463.3999999999942 483.3999999999942 503.3999999999942 523.3999999999942 543.3999999999942 563.3999999999943 583.3999999999943 603.3999999999943 623.3999999999943 643.3999999999943 663.3999999999943 683.3999999999943 703.3999999999942 723.3999999999942 743.3999999999942 763.3999999999942 783.3999999999942 803.3999999999942 823.3999999999942 843.3999999999942 863.3999999999942 883.3999999999942 903.3999999999942 923.3999999999942 943.3999999999942 963.3999999999942 983.3999999999942 1003.3999999999942 1023.3999999999942 1043.3999999999942 1063.3999999999942 1083.3999999999942 1103.3999999999942 1123.3999999999942 1143.3999999999942 1163.3999999999942 1183.3999999999942 1203.3999999999942 1223.3999999999942 1243.3999999999942 1263.3999999999942 1283.3999999999942 1303.3999999999942 1323.3999999999942 1343.3999999999942 1363.3999999999942 1383.3999999999942 1403.3999999999942 1423.3999999999942 1443.3999999999942 1463.3999999999942 1483.3999999999942 1503.3999999999942 1523.3999999999942 1543.3999999999942 1563.3999999999942 1583.3999999999942 1603.3999999999942 1623.3999999999942 1643.3999999999942 1663.3999999999942 1683.3999999999942 1703.3999999999942 1723.3999999999942 1743.3999999999942
cb_02,2.0,enc_trial,stim,response,Fine Arts students,1354.2000000715198,enc_trial,1.0,2.0,s_a_05_1,student_art,fold-c-single,clay,2.0,unique,,single,s_a_05_1.jpg,art,student-b1,STEM students,Fine Arts students,sub-75,1.0,,0.0,,0.50625 0.5055555555555555 0.5027777777777778 0.4993055555555556 0.4909722222222222 0.4666666666666667 0.4527777777777778 0.44027777777777777 0.4131944444444444 0.3840277777777778 0.3194444444444444 0.27847222222222223 0.2388888888888889 0.20555555555555555 0.18125 0.15 0.1451388888888889 0.14166666666666666 0.1375 0.13194444444444445 0.12708333333333333 0.12708333333333333 0.12708333333333333 0.12708333333333333 0.12777777777777774 0.16180555555555556 0.21458333333333326 0.3013888888888889 0.4097222222222222 0.5152777777777777 0.6763888888888889 0.7944444444444444 0.8451388888888889 0.8652777777777778 0.8680555555555556 0.8611111111111112 0.8465277777777778 0.8388888888888889 0.8361111111111111 0.8347222222222223 0.8347222222222223 0.8347222222222223 0.8347222222222223 0.8361111111111111 0.8381944444444445 0.8513888888888889 0.8645833333333334 0.8715277777777778 0.8722222222222222,0.8111111111111111 0.8055555555555556 0.787037037037037 0.7583333333333333 0.7157407407407408 0.5935185185185186 0.5351851851851852 0.4675925925925926 0.39907407407407397 0.3453703703703703 0.2629629629629629 0.2314814814814815 0.19814814814814816 0.1611111111111111 0.13240740740740742 0.0972222222222222 0.08796296296296291 0.0805555555555556 0.07314814814814817 0.062962962962963 0.05092592592592593 0.05092592592592593 0.05092592592592593 0.05092592592592593 0.05092592592592593 0.05740740740740746 0.07037037037037043 0.08611111111111114 0.10185185185185186 0.1074074074074074 0.11296296296296293 0.12777777777777774 0.1351851851851852 0.13981481481481484 0.14166666666666672 0.14629629629629626 0.14814814814814814 0.1509259259259259 0.1518518518518519 0.1518518518518519 0.1518518518518519 0.1518518518518519 0.1518518518518519 0.15000000000000002 0.14629629629629626 0.1435185185185185 0.14074074074074072 0.13981481481481484 0.13981481481481484,383.6999999999971 403.6999999999971 423.6999999999971 443.6999999999971 463.6999999999971 483.6999999999971 503.6999999999971 523.6999999999971 543.6999999999971 563.6999999999971 583.6999999999971 603.6999999999971 623.6999999999971 643.6999999999971 663.6999999999971 683.6999999999971 703.6999999999971 723.6999999999971 743.6999999999971 763.6999999999971 783.6999999999971 803.6999999999971 823.6999999999971 843.6999999999971 863.6999999999971 883.6999999999971 903.6999999999972 923.6999999999972 943.6999999999972 963.6999999999972 983.6999999999972 1003.6999999999972 1023.6999999999972 1043.6999999999969 1063.6999999999969 1083.6999999999969 1103.6999999999969 1123.6999999999969 1143.6999999999969 1163.6999999999969 1183.6999999999969 1203.6999999999969 1223.6999999999969 1243.6999999999969 1263.6999999999969 1283.6999999999969 1303.6999999999969 1323.6999999999969 1343.6999999999969
cb_02,3.0,enc_trial,stim,response,Fine Arts students,1311.8000000000031,enc_trial,1.0,3.0,s_sh_20_1,student_shared,fold-c,tape,2.0,competing,far,paired,s_sh_20_1.jpg,,student-b1,STEM students,Fine Arts students,sub-75,0.0,0.0,0.0,1.0,0.5097222222222222 0.5083333333333333 0.5055555555555555 0.5034722222222222 0.5006944444444444 0.4958333333333334 0.4951388888888889 0.49375 0.49375 0.4930555555555556 0.4909722222222222 0.4895833333333333 0.4868055555555556 0.4868055555555556 0.4847222222222222 0.4847222222222222 0.4840277777777778 0.4840277777777778 0.4840277777777778 0.4840277777777778 0.4819444444444445 0.4777777777777778 0.4694444444444445 0.4555555555555556 0.4326388888888889 0.3548611111111111 0.3111111111111111 0.2652777777777778 0.22569444444444445 0.18888888888888888 0.15347222222222226 0.14444444444444446 0.14027777777777778 0.1375 0.1361111111111111 0.13541666666666666 0.13541666666666666 0.13541666666666666 0.13541666666666666 0.13541666666666666 0.13541666666666666 0.13541666666666666 0.1361111111111111 0.14166666666666666 0.15 0.2534722222222222 0.36041666666666666 0.5090277777777777 0.6569444444444444 0.7680555555555556 0.8159722222222222 0.8381944444444445 0.8381944444444445 0.8381944444444445 0.8388888888888889 0.8388888888888889 0.8395833333333333 0.8395833333333333 0.8402777777777778 0.8416666666666667 0.8506944444444444 0.8819444444444444 0.8840277777777777,0.8314814814814815 0.8296296296296296 0.8287037037037037 0.8231481481481482 0.8157407407407408 0.8046296296296296 0.8009259259259259 0.799074074074074 0.7981481481481482 0.7962962962962963 0.7898148148148147 0.787037037037037 0.7824074074074074 0.7777777777777778 0.7722222222222223 0.7703703703703704 0.7685185185185185 0.7685185185185185 0.7685185185185185 0.7685185185185185 0.7666666666666666 0.7648148148148148 0.7527777777777778 0.7342592592592593 0.6990740740740741 0.5675925925925926 0.4888888888888889 0.4194444444444444 0.3611111111111112 0.3037037037037037 0.2361111111111112 0.2148148148148148 0.2046296296296296 0.1972222222222222 0.1898148148148148 0.18425925925925926 0.18425925925925926 0.18425925925925926 0.18425925925925926 0.18425925925925926 0.18425925925925926 0.18333333333333326 0.1805555555555556 0.17500000000000004 0.1685185185185185 0.1333333333333333 0.11203703703703703 0.10555555555555553 0.10370370370370374 0.10462962962962964 0.1074074074074074 0.10833333333333328 0.10833333333333328 0.10833333333333328 0.11018518518518516 0.11018518518518516 0.11203703703703703 0.11296296296296293 0.11388888888888893 0.1148148148148148 0.12314814814814813 0.14537037037037034 0.14722222222222225,33.30000000000291 53.30000000000291 73.30000000000291 93.30000000000292 113.30000000000292 133.3000000000029 153.3000000000029 173.3000000000029 193.3000000000029 213.3000000000029 233.3000000000029 253.3000000000029 273.3000000000029 293.30000000000285 313.30000000000285 333.30000000000285 353.3000000000029 373.3000000000029 393.3000000000029 413.3000000000029 433.3000000000029 453.3000000000029 473.3000000000029 493.3000000000029 513.3000000000029 533.3000000000029 553.3000000000029 573.3000000000029 593.3000000000029 613.3000000000029 633.3000000000029 653.3000000000029 673.3000000000029 693.3000000000029 713.3000000000029 733.3000000000029 753.3000000000029 773.3000000000029 793.3000000000029 813.3000000000029 833.3000000000029 853.3000000000029 873.3000000000029 893.3000000000029 913.3000000000028 933.3000000000028 953.3000000000028 973.3000000000028 993.3000000000028 1013.3000000000028 1033.3000000000031 1053.3000000000031 1073.3000000000031 1093.3000000000031 1113.3000000000031 1133.3000000000031 1153.3000000000031 1173.3000000000031 1193.3000000000031 1213.3000000000031 1233.3000000000031 1253.3000000000031 1273.3000000000031
cb_02,4.0,enc_trial,stim,response,STEM students,1359.3000000476895,enc_trial,1.0,4.0,s_sh_23_1,student_shared,fold-a,ballpoint pen,2.0,competing,close,paired,s_sh_23_1.jpg,,student-b1,STEM students,Fine Arts students,sub-75,1.0,1.0,0.0,0.0,0.5069444444444444 0.5020833333333333 0.4979166666666667 0.4916666666666666 0.4847222222222222 0.4430555555555555 0.4125 0.3881944444444445 0.3631944444444444 0.34375 0.3201388888888889 0.3090277777777778 0.2958333333333333 0.2847222222222222 0.2701388888888889 0.2548611111111111 0.24722222222222226 0.2395833333333333 0.2305555555555556 0.2243055555555556 0.21458333333333326 0.2083333333333333 0.20277777777777767 0.1986111111111111 0.1986111111111111 0.19236111111111112 0.18611111111111112 0.18194444444444444 0.17777777777777778 0.17569444444444446 0.16458333333333333 0.16041666666666668 0.15833333333333333 0.15555555555555556 0.1527777777777778 0.15069444444444444 0.14930555555555555 0.1486111111111111 0.14722222222222225,0.825 0.8194444444444444 0.8009259259259259 0.7777777777777778 0.7583333333333333 0.6675925925925925 0.6027777777777779 0.5351851851851852 0.4842592592592593 0.4444444444444444 0.4092592592592592 0.3925925925925926 0.3759259259259259 0.36203703703703705 0.3379629629629629 0.3194444444444444 0.31018518518518523 0.3018518518518518 0.2935185185185185 0.2870370370370371 0.2703703703703704 0.2592592592592593 0.24722222222222226 0.2407407407407407 0.23703703703703705 0.2240740740740741 0.21759259259259256 0.2129629629629629 0.20740740740740726 0.20277777777777767 0.1944444444444444 0.19166666666666665 0.19166666666666665 0.1907407407407408 0.18888888888888888 0.18796296296296305 0.18796296296296305 0.18796296296296305 0.18611111111111112,466.6000000000058 486.6000000000058 506.6000000000058 526.6000000000058 546.6000000000058 566.6000000000057 586.6000000000057 606.6000000000057 626.6000000000057 646.6000000000057 666.6000000000057 686.6000000000057 706.6000000000058 726.6000000000058 746.6000000000058 766.6000000000058 786.6000000000058 806.6000000000058 826.6000000000058 846.6000000000058 866.6000000000058 886.6000000000058 906.6000000000058 926.6000000000058 946.6000000000058 966.6000000000058 986.6000000000058 1006.6000000000058 1026.6000000000058 1046.6000000000058 1066.6000000000058 1086.6000000000058 1106.6000000000058 1126.6000000000058 1146.6000000000058 1166.6000000000058 1186.6000000000058 1206.6000000000058 1226.6000000000058
cb_02,5.0,enc_trial,stim,response,Fine Arts students,1381.2999999761525,enc_trial,1.0,5.0,s_a_20_1,student_art,fold-a,pin cushion,2.0,unique,far,paired,s_a_20_1.jpg,art,student-b1,STEM students,Fine Arts students,sub-75,1.0,1.0,1.0,1.0,0.5055555555555555 0.5055555555555555 0.5055555555555555 0.5055555555555555 0.5055555555555555 0.4909722222222222 0.4791666666666667 0.45 0.3951388888888889 0.3263888888888889 0.22291666666666668 0.20347222222222225 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.19791666666666666 0.1986111111111111 0.2013888888888889 0.34375 0.4618055555555556 0.5770833333333333 0.6694444444444444 0.7152777777777778 0.7402777777777778 0.7402777777777778 0.7402777777777778 0.7402777777777778 0.7402777777777778 0.7402777777777778 0.7430555555555556 0.7506944444444444 0.7631944444444444 0.7722222222222223 0.7791666666666667 0.7847222222222222 0.8027777777777778 0.8215277777777777 0.8333333333333334 0.8361111111111111,0.8203703703703704 0.8157407407407408 0.799074074074074 0.787962962962963 0.7583333333333333 0.6398148148148148 0.5796296296296296 0.5064814814814815 0.4101851851851852 0.3314814814814815 0.2231481481481481 0.2055555555555556 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.20185185185185184 0.19814814814814816 0.1962962962962963 0.16574074074074074 0.1435185185185185 0.1333333333333333 0.12962962962962965 0.12777777777777774 0.13148148148148153 0.13148148148148153 0.13148148148148153 0.1333333333333333 0.1333333333333333 0.1342592592592593 0.13611111111111107 0.13703703703703707 0.13703703703703707 0.13796296296296295 0.14166666666666672 0.1435185185185185 0.14166666666666672 0.14074074074074072 0.13796296296296295 0.13796296296296295,383.3999999999942 403.3999999999942 423.3999999999942 443.3999999999942 463.3999999999942 483.3999999999942 503.3999999999942 523.3999999999942 543.3999999999942 563.3999999999943 583.3999999999943 603.3999999999943 623.3999999999943 643.3999999999943 663.3999999999943 683.3999999999943 703.3999999999942 723.3999999999942 743.3999999999942 763.3999999999942 783.3999999999942 803.3999999999942 823.3999999999942 843.3999999999942 863.3999999999942 883.3999999999942 903.3999999999942 923.3999999999942 943.3999999999942 963.3999999999942 983.3999999999942 1003.3999999999942 1023.3999999999942 1043.3999999999942 1063.3999999999942 1083.3999999999942 1103.3999999999942 1123.3999999999942 1143.3999999999942 1163.3999999999942 1183.3999999999942 1203.3999999999942 1223.3999999999942 1243.3999999999942 1263.3999999999942 1283.3999999999942
cb_02,6.0,enc_trial,stim,response,Fine Arts students,1226.0000000715227,enc_trial,1.0,6.0,s_a_16_1,student_art,fold-b,piano,2.0,unique,close,paired,s_a_16_1.jpg,art,student-b1,STEM students,Fine Arts students,sub-75,1.0,1.0,1.0,1.0,0.5055555555555555 0.5055555555555555 0.5020833333333333 0.4930555555555556 0.4798611111111111 0.4111111111111111 0.3555555555555556 0.29444444444444445 0.21597222222222226 0.19583333333333333 0.1909722222222222 0.19166666666666668 0.19722222222222224 0.2083333333333333 0.23194444444444445 0.3583333333333333 0.4631944444444445 0.575 0.6881944444444444 0.7381944444444445 0.7708333333333334 0.7743055555555556 0.7756944444444445 0.7763888888888889 0.7791666666666667 0.7958333333333333 0.80625 0.8125 0.8166666666666667 0.8173611111111111 0.8173611111111111 0.8180555555555555 0.8222222222222222 0.83125 0.8375 0.8465277777777778 0.8520833333333333 0.8541666666666666,0.8231481481481482 0.8111111111111111 0.7907407407407407 0.7462962962962962 0.6888888888888889 0.5305555555555556 0.4407407407407408 0.3555555555555555 0.2583333333333333 0.2296296296296297 0.2148148148148148 0.2064814814814815 0.1907407407407408 0.17407407407407405 0.1527777777777778 0.11851851851851848 0.09907407407407408 0.0888888888888889 0.08518518518518514 0.0888888888888889 0.0981481481481481 0.10092592592592596 0.10277777777777776 0.10370370370370374 0.10648148148148152 0.10648148148148152 0.1074074074074074 0.1074074074074074 0.10925925925925928 0.10925925925925928 0.10925925925925928 0.10925925925925928 0.11203703703703703 0.11759259259259258 0.12314814814814813 0.12777777777777774 0.12870370370370365 0.12962962962962965,450.09999999999116 470.09999999999116 490.09999999999116 510.09999999999116 530.0999999999912 550.0999999999912 570.0999999999913 590.0999999999913 610.0999999999913 630.0999999999913 650.0999999999913 670.0999999999913 690.0999999999913 710.0999999999913 730.0999999999913 750.0999999999913 770.0999999999913 790.0999999999913 810.0999999999913 830.0999999999913 850.0999999999913 870.0999999999913 890.0999999999913 910.0999999999913 930.0999999999913 950.0999999999913 970.0999999999913 990.0999999999913 1010.0999999999913 1030.0999999999913 1050.0999999999913 1070.0999999999913 1090.0999999999913 1110.0999999999913 1130.0999999999913 1150.0999999999913 1170.0999999999913 1190.0999999999913
cb_02,7.0,enc_trial,stim,response,STEM students,862.8999999761581,enc_trial,1.0,7.0,s_s_02_1,student_stem,fold-b,flask,2.0,unique,close,paired,s_s_02_1.jpg,stem,student-b1,STEM students,Fine Arts students,sub-75,1.0,1.0,1.0,1.0,0.5020833333333333 0.5006944444444444 0.5 0.4944444444444445 0.4847222222222222 0.4680555555555556 0.4590277777777778 0.4354166666666667 0.3673611111111112 0.3145833333333333 0.21875 0.18541666666666667 0.1625 0.15069444444444444 0.14652777777777778 0.14583333333333334 0.14583333333333334 0.14583333333333334 0.14583333333333334 0.14583333333333334 0.14583333333333334 0.14444444444444446 0.14166666666666666 0.1361111111111111 0.13333333333333333,0.8351851851851853 0.8305555555555555 0.8240740740740741 0.8101851851851851 0.787962962962963 0.7092592592592593 0.6527777777777778 0.5777777777777777 0.4518518518518518 0.3583333333333333 0.21759259259259256 0.17407407407407405 0.1444444444444445 0.13240740740740742 0.12870370370370365 0.12870370370370365 0.12870370370370365 0.12870370370370365 0.12870370370370365 0.12870370370370365 0.12870370370370365 0.12870370370370365 0.12592592592592589 0.12222222222222225 0.11944444444444445,349.8999999999942 369.8999999999942 389.8999999999942 409.8999999999942 429.8999999999942 449.8999999999942 469.8999999999942 489.8999999999942 509.8999999999942 529.8999999999942 549.8999999999942 569.8999999999943 589.8999999999943 609.8999999999943 629.8999999999943 649.8999999999943 669.8999999999943 689.8999999999942 709.8999999999942 729.8999999999942 749.8999999999942 769.8999999999942 789.8999999999942 809.8999999999942 829.8999999999942
cb_02,8.0,enc_trial,stim,response,Fine Arts students,1272.0000000715227,enc_trial,1.0,8.0,s_sh_23_2,student_shared,fold-a,ballpoint pen,2.0,competing,close,paired,s_sh_23_2.jpg,,student-b1,STEM students,Fine Arts students,sub-75,1.0,1.0,0.0,0.0,0.4958333333333334 0.4895833333333333 0.4791666666666667 0.4611111111111112 0.42291666666666666 0.3125 0.25972222222222224 0.21666666666666667 0.18958333333333333 0.175 0.16458333333333333 0.16597222222222222 0.16875 0.17222222222222222 0.1763888888888889 0.1909722222222222 0.20069444444444445 0.20972222222222225 0.22361111111111112 0.2638888888888889 0.4284722222222222 0.5854166666666667 0.6527777777777778 0.6986111111111111 0.7145833333333333 0.7194444444444444 0.7215277777777778 0.7229166666666667 0.7263888888888889 0.7298611111111111 0.7555555555555555 0.7652777777777777 0.7694444444444445 0.7708333333333334 0.7736111111111111 0.7791666666666667 0.7895833333333333 0.8069444444444445 0.8277777777777777 0.8298611111111112 0.8305555555555556 0.8305555555555556 0.8305555555555556 0.8305555555555556 0.83125,0.8203703703703704 0.7962962962962963 0.7685185185185185 0.7222222222222222 0.662962962962963 0.475 0.3629629629629629 0.2685185185185185 0.20925925925925928 0.17500000000000004 0.14722222222222225 0.1435185185185185 0.14166666666666672 0.14166666666666672 0.14166666666666672 0.14907407407407405 0.1527777777777778 0.15648148148148144 0.15740740740740744 0.15370370370370368 0.11296296296296293 0.08333333333333337 0.07037037037037043 0.07037037037037043 0.07314814814814817 0.0796296296296296 0.08240740740740737 0.08611111111111114 0.08981481481481479 0.09259259259259256 0.10277777777777776 0.1074074074074074 0.11018518518518516 0.11111111111111116 0.11296296296296293 0.1148148148148148 0.1166666666666667 0.12037037037037035 0.12222222222222225 0.12222222222222225 0.12314814814814813 0.12314814814814813 0.12314814814814813 0.12314814814814813 0.12407407407407413,366.3999999999942 386.3999999999942 406.3999999999942 426.3999999999942 446.3999999999942 466.3999999999942 486.3999999999942 506.3999999999942 526.3999999999942 546.3999999999942 566.3999999999943 586.3999999999943 606.3999999999943 626.3999999999943 646.3999999999943 666.3999999999943 686.3999999999943 706.3999999999942 726.3999999999942 746.3999999999942 766.3999999999942 786.3999999999942 806.3999999999942 826.3999999999942 846.3999999999942 866.3999999999942 886.3999999999942 906.3999999999942 926.3999999999942 946.3999999999942 966.3999999999942 986.3999999999942 1006.3999999999942 1026.3999999999942 1046.3999999999942 1066.3999999999942 1086.3999999999942 1106.3999999999942 1126.3999999999942 1146.3999999999942 1166.3999999999942 1186.3999999999942 1206.3999999999942 1226.3999999999942 1246.3999999999942
cb_02,9.0,enc_trial,stim,response,STEM students,1072.5000000476866,enc_trial,1.0,9.0,s_sh_04_1,student_shared,fold-c,laptop stand,2.0,competing,far,paired,s_sh_04_1.jpg,,student-b1,STEM students,Fine Arts students,sub-75,1.0,1.0,1.0,0.0,0.5069444444444444 0.5048611111111111 0.4993055555555556 0.4923611111111112 0.4805555555555556 0.45 0.4270833333333333 0.3951388888888889 0.3541666666666667 0.3201388888888889 0.28194444444444444 0.2659722222222222 0.2375 0.2243055555555556 0.2152777777777778 0.2048611111111111 0.20347222222222225 0.20347222222222225 0.20277777777777767 0.20208333333333334 0.20069444444444445 0.1986111111111111 0.19444444444444445 0.19166666666666668 0.1868055555555556 0.1798611111111111 0.17569444444444446 0.17083333333333334 0.16875 0.16666666666666666 0.16180555555555556 0.16180555555555556,0.8194444444444444 0.8166666666666667 0.7944444444444445 0.7712962962962963 0.7333333333333334 0.6407407407407407 0.5842592592592593 0.5101851851851852 0.4296296296296296 0.3731481481481481 0.3222222222222222 0.3064814814814815 0.2759259259259259 0.2629629629629629 0.25370370370370365 0.2407407407407407 0.23703703703703705 0.2361111111111112 0.2342592592592593 0.2333333333333333 0.2305555555555555 0.2277777777777777 0.2240740740740741 0.2203703703703704 0.2138888888888889 0.19907407407407407 0.19259259259259254 0.18703703703703692 0.18148148148148147 0.1777777777777778 0.17129629629629628 0.1703703703703704,350.3000000000029 370.3000000000029 390.3000000000029 410.3000000000029 430.3000000000029 450.3000000000029 470.3000000000029 490.3000000000029 510.3000000000029 530.3000000000029 550.3000000000029 570.3000000000029 590.3000000000029 610.3000000000029 630.3000000000029 650.3000000000029 670.3000000000029 690.3000000000029 710.3000000000029 730.3000000000029 750.3000000000029 770.3000000000029 790.3000000000029 810.3000000000029 830.3000000000029 850.3000000000029 870.3000000000029 890.3000000000029 910.3000000000028 930.3000000000028 950.3000000000028 970.3000000000028
cb_02,10.0,enc_trial,stim,response,STEM students,1390.0999999761555,enc_trial,1.0,10.0,s_s_02_2,student_stem,fold-b,flask,2.0,unique,close,paired,s_s_02_2.jpg,stem,student-b1,STEM students,Fine Arts students,sub-75,1.0,1.0,1.0,1.0,0.5118055555555555 0.5118055555555555 0.5125 0.5138888888888888 0.5138888888888888 0.51875 0.525 0.5284722222222222 0.5319444444444444 0.53125 0.5013888888888889 0.4993055555555556 0.5027777777777778 0.5083333333333333 0.5145833333333333 0.5229166666666667 0.5263888888888889 0.5354166666666667 0.54375 0.5486111111111112 0.55 0.55 0.55 0.5506944444444445 0.5590277777777778 0.575 0.5791666666666667 0.58125 0.5819444444444445 0.58125 0.5680555555555555 0.5569444444444445 0.5430555555555555 0.5270833333333333 0.4986111111111111 0.3826388888888889 0.3125 0.2243055555555556 0.14722222222222225 0.10694444444444444 0.10277777777777776 0.10416666666666667 0.10555555555555557 0.10625 0.10555555555555557 0.09583333333333334 0.04513888888888889 0.02708333333333333 0.019444444444444445 0.019444444444444445 0.035416666666666666 0.05 0.06805555555555555 0.08680555555555555 0.10069444444444443 0.10972222222222222,0.8268518518518518 0.8212962962962963 0.8175925925925926 0.8101851851851851 0.8 0.7509259259259259 0.7111111111111111 0.6712962962962963 0.6194444444444445 0.5574074074074074 0.4046296296296297 0.3740740740740741 0.3583333333333333 0.34351851851851856 0.33333333333333337 0.3212962962962963 0.312962962962963 0.3064814814814815 0.3027777777777778 0.29907407407407405 0.2935185185185185 0.2925925925925926 0.2925925925925926 0.29166666666666663 0.2925925925925926 0.2944444444444444 0.2944444444444444 0.2953703703703704 0.2972222222222223 0.29907407407407405 0.29907407407407405 0.2898148148148149 0.2787037037037037 0.26481481481481484 0.2481481481481481 0.15462962962962967 0.11759259259259258 0.08518518518518514 0.05925925925925924 0.04907407407407405 0.04722222222222228 0.04907407407407405 0.05000000000000005 0.05092592592592593 0.0537037037037037 0.06018518518518521 0.08148148148148149 0.0888888888888889 0.09444444444444444 0.09537037037037033 0.10370370370370374 0.11296296296296293 0.12592592592592589 0.1435185185185185 0.15462962962962967 0.1620370370370371,116.69999999999708 136.6999999999971 156.6999999999971 176.69999999999715 196.69999999999715 216.69999999999715 236.69999999999715 256.6999999999972 276.6999999999972 296.6999999999972 316.6999999999972 336.69999999999726 356.69999999999726 376.69999999999726 396.6999999999973 416.6999999999973 436.6999999999973 456.6999999999973 476.6999999999973 496.69999999999743 516.6999999999973 536.6999999999973 556.6999999999974 576.6999999999974 596.6999999999974 616.6999999999974 636.6999999999974 656.6999999999974 676.6999999999974 696.6999999999975 716.6999999999975 736.6999999999975 756.6999999999975 776.6999999999975 796.6999999999975 816.6999999999975 836.6999999999975 856.6999999999977 876.6999999999977 896.6999999999977 916.6999999999975 936.6999999999975 956.6999999999975 976.6999999999975 996.6999999999977 1016.6999999999977 1036.6999999999978 1056.6999999999978 1076.6999999999978 1096.6999999999978 1116.6999999999978 1136.6999999999978 1156.6999999999978 1176.6999999999978 1196.6999999999978 1216.6999999999978
