"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-32","t_i_20_1.jpg",NA,"","single","unique",1,"1_ITEM",1649.5,1,"t_i_20"
"sub-32","t_s_24_1.jpg",16,"far","paired","competing",1,"2_ITEM",1258.80000038148,1,"t_s_24"
"sub-32","t_i_15_1.jpg",13,"far","paired","unique",1,"1_ITEM",1419.50000028609,0,"t_i_15"
"sub-32","t_i_19_1.jpg",NA,"","single","unique",1,"1_ITEM",1832.30000019073,1,"t_i_19"
"sub-32","t_s_11_1.jpg",NA,"","single","competing",1,"1_ITEM",1681.70000000001,1,"t_s_11"
"sub-32","t_m_20_1.jpg",5,"close","paired","unique",1,"1_ITEM",1774.90000038146,0,"t_m_20"
"sub-32","t_m_01_1.jpg",13,"far","paired","unique",1,"2_ITEM",964.300000190735,1,"t_m_01"
"sub-32","t_s_06_1.jpg",6,"close","paired","competing",1,"2_ITEM",1775.60000000001,1,"t_s_06"
"sub-32","t_m_17_1.jpg",17,"far","paired","unique",1,"2_ITEM",990.100000000006,1,"t_m_17"
"sub-32","t_s_04_1.jpg",15,"far","paired","competing",1,"2_ITEM",2186.30000038148,1,"t_s_04"
"sub-32","t_i_13_1.jpg",13,"far","paired","unique",1,"2_ITEM",1010.79999999999,1,"t_i_13"
"sub-32","t_s_05_1.jpg",NA,"","single","competing",1,"2_ITEM",974.300000286108,0,"t_s_05"
"sub-32","t_m_18_1.jpg",NA,"","single","unique",1,"1_ITEM",1511.90000038146,1,"t_m_18"
"sub-32","t_i_02_1.jpg",5,"close","paired","unique",1,"2_ITEM",1128.60000038147,1,"t_i_02"
"sub-32","t_s_22_1.jpg",NA,"","single","competing",1,"1_ITEM",1092.39999999999,1,"t_s_22"
"sub-32","t_s_12_1.jpg",3,"close","paired","competing",1,"2_ITEM",1292.2000002861,1,"t_s_12"
"sub-32","t_s_08_1.jpg",NA,"","single","competing",1,"1_ITEM",2737.80000009536,1,"t_s_08"
"sub-32","t_m_16_1.jpg",NA,"","single","unique",1,"1_ITEM",2441.60000009538,1,"t_m_16"
"sub-32","t_s_10_1.jpg",13,"far","paired","competing",1,"2_ITEM",1074.30000028611,1,"t_s_10"
"sub-32","s_a_09_1.jpg",3,"close","paired","unique",1,"1_ITEM",1818.90000038146,0,"s_a_09"
"sub-32","s_a_03_1.jpg",7,"close","paired","unique",1,"2_ITEM",1021.00000009537,1,"s_a_03"
"sub-32","s_s_14_1.jpg",7,"close","paired","unique",1,"1_ITEM",1700.40000019074,0,"s_s_14"
"sub-32","s_s_17_1.jpg",4,"close","paired","unique",1,"2_ITEM",1087.20000009537,1,"s_s_17"
"sub-32","s_sh_18_1.jpg",14,"far","paired","competing",1,"2_ITEM",1226.30000009536,1,"s_sh_18"
"sub-32","s_s_07_1.jpg",NA,"","single","unique",1,"1_ITEM",1232.30000028611,1,"s_s_07"
"sub-32","s_s_05_1.jpg",17,"far","paired","unique",1,"2_ITEM",1623.6000002861,1,"s_s_05"
