"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-70","s_s_14_1.jpg",5,"close","paired","unique",1,"1_ITEM",960.599999952305,0,"s_s_14"
"sub-70","s_a_15_1.jpg",15,"far","paired","unique",1,"2_ITEM",798.199999976147,1,"s_a_15"
"sub-70","s_sh_23_1.jpg",NA,"","single","competing",1,"1_ITEM",808.399999999994,1,"s_sh_23"
"sub-70","s_s_20_1.jpg",14,"far","paired","unique",1,"2_ITEM",899.600000000006,1,"s_s_20"
"sub-70","s_sh_24_1.jpg",17,"far","paired","competing",1,"1_ITEM",1053.79999999999,0,"s_sh_24"
"sub-70","s_s_11_1.jpg",17,"far","paired","unique",1,"2_ITEM",999.299999999988,1,"s_s_11"
"sub-70","s_a_09_1.jpg",4,"close","paired","unique",1,"2_ITEM",858.499999928463,1,"s_a_09"
"sub-70","s_s_04_1.jpg",NA,"","single","unique",1,"1_ITEM",1041.59999999998,1,"s_s_04"
"sub-70","s_a_03_1.jpg",6,"close","paired","unique",1,"2_ITEM",1164.49999990463,1,"s_a_03"
"sub-70","s_a_06_1.jpg",13,"far","paired","unique",1,"2_ITEM",950.599999928469,1,"s_a_06"
"sub-70","s_s_17_1.jpg",6,"close","paired","unique",1,"2_ITEM",923.599999904633,1,"s_s_17"
"sub-70","s_a_10_1.jpg",NA,"","single","unique",1,"1_ITEM",1087.5999999523,1,"s_a_10"
"sub-70","s_sh_07_1.jpg",NA,"","single","competing",1,"1_ITEM",881.699999999982,1,"s_sh_07"
"sub-70","s_sh_02_1.jpg",NA,"","single","competing",1,"1_ITEM",1758.29999997615,1,"s_sh_02"
"sub-70","s_s_12_1.jpg",NA,"","single","unique",1,"1_ITEM",1251.49999992846,1,"s_s_12"
"sub-70","s_sh_03_1.jpg",NA,"","single","competing",1,"1_ITEM",821.399999952322,1,"s_sh_03"
"sub-70","s_a_04_1.jpg",NA,"","single","unique",1,"2_ITEM",759.899999928486,0,"s_a_04"
"sub-70","t_s_06_1.jpg",14,"far","paired","competing",1,"2_ITEM",803,1,"t_s_06"
"sub-70","t_m_04_1.jpg",4,"close","paired","unique",1,"2_ITEM",949.79999990463,1,"t_m_04"
"sub-70","t_s_05_1.jpg",NA,"","single","competing",1,"1_ITEM",673.300000000003,1,"t_s_05"
"sub-70","t_s_08_1.jpg",NA,"","single","competing",1,"1_ITEM",1314.69999990464,1,"t_s_08"
"sub-70","t_m_05_1.jpg",13,"far","paired","unique",1,"2_ITEM",817.099999952319,1,"t_m_05"
"sub-70","t_i_11_1.jpg",13,"far","paired","unique",1,"2_ITEM",1116.3,1,"t_i_11"
"sub-70","t_i_02_1.jpg",5,"close","paired","unique",1,"1_ITEM",955.399999976158,0,"t_i_02"
"sub-70","t_m_02_1.jpg",NA,"","single","unique",1,"1_ITEM",1437.09999995232,1,"t_m_02"
"sub-70","t_i_06_1.jpg",15,"far","paired","unique",1,"1_ITEM",1388.19999990463,0,"t_i_06"
"sub-70","t_s_12_1.jpg",17,"far","paired","competing",1,"2_ITEM",1568.79999990463,1,"t_s_12"
"sub-70","t_m_11_1.jpg",15,"far","paired","unique",1,"2_ITEM",1347.10000000001,1,"t_m_11"
"sub-70","t_i_17_1.jpg",3,"close","paired","unique",1,"1_ITEM",818.499999952313,0,"t_i_17"
"sub-70","t_s_11_1.jpg",NA,"","single","competing",1,"1_ITEM",1072.69999997616,1,"t_s_11"
"sub-70","t_m_01_1.jpg",NA,"","single","unique",1,"1_ITEM",863.599999952319,1,"t_m_01"
"sub-70","t_s_10_1.jpg",6,"close","paired","competing",1,"2_ITEM",1191.69999992847,1,"t_s_10"
