"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-08","s_s_10_1.jpg",NA,"","single","unique",1,"1_ITEM",1837.66,1,"s_s_10"
"sub-08","s_a_05_1.jpg",NA,"","single","unique",1,"1_ITEM",1321.26000000001,1,"s_a_05"
"sub-08","s_sh_23_1.jpg",4,"close","paired","competing",1,"2_ITEM",1271.20000000001,1,"s_sh_23"
"sub-08","s_a_20_1.jpg",14,"far","paired","unique",1,"2_ITEM",1204.73999999999,1,"s_a_20"
"sub-08","s_a_16_1.jpg",5,"close","paired","unique",1,"2_ITEM",1104.64000000001,1,"s_a_16"
"sub-08","s_s_02_1.jpg",3,"close","paired","unique",1,"2_ITEM",2070.54000000001,1,"s_s_02"
"sub-08","s_sh_04_1.jpg",14,"far","paired","competing",1,"1_ITEM",2036.39999999999,0,"s_sh_04"
"sub-08","s_sh_18_1.jpg",14,"far","paired","competing",1,"2_ITEM",1021.51999999999,1,"s_sh_18"
"sub-08","s_sh_09_1.jpg",15,"far","paired","competing",1,"1_ITEM",1453.78,0,"s_sh_09"
"sub-08","s_sh_07_1.jpg",4,"close","paired","competing",1,"1_ITEM",1004.76000000001,0,"s_sh_07"
"sub-08","s_a_17_1.jpg",5,"close","paired","unique",1,"2_ITEM",1221.73999999999,1,"s_a_17"
"sub-08","s_a_14_1.jpg",NA,"","single","unique",1,"1_ITEM",1586.79999999999,1,"s_a_14"
"sub-08","s_s_12_1.jpg",14,"far","paired","unique",1,"1_ITEM",971.48000000001,0,"s_s_12"
"sub-08","s_sh_13_1.jpg",NA,"","single","competing",1,"1_ITEM",1288.48000000001,1,"s_sh_13"
"sub-08","s_s_05_1.jpg",15,"far","paired","unique",1,"1_ITEM",1303.32000000001,0,"s_s_05"
"sub-08","s_sh_19_1.jpg",7,"close","paired","competing",1,"2_ITEM",1320.72,1,"s_sh_19"
"sub-08","s_a_10_1.jpg",13,"far","paired","unique",1,"2_ITEM",1420.92000000001,1,"s_a_10"
"sub-08","s_sh_24_1.jpg",NA,"","single","competing",1,"1_ITEM",1621.70000000001,1,"s_sh_24"
"sub-08","s_sh_12_1.jpg",NA,"","single","competing",1,"1_ITEM",1537.12,1,"s_sh_12"
"sub-08","s_s_01_1.jpg",5,"close","paired","unique",1,"2_ITEM",1304.51999999999,1,"s_s_01"
"sub-08","s_sh_11_1.jpg",NA,"","single","competing",1,"1_ITEM",1738.06,1,"s_sh_11"
"sub-08","s_sh_16_1.jpg",7,"close","paired","competing",1,"1_ITEM",1137.44,0,"s_sh_16"
"sub-08","s_s_15_1.jpg",NA,"","single","unique",1,"1_ITEM",1320.76000000001,1,"s_s_15"
"sub-08","t_i_13_1.jpg",17,"far","paired","unique",1,"1_ITEM",1191.01999999999,0,"t_i_13"
"sub-08","t_m_07_1.jpg",NA,"","single","unique",1,"1_ITEM",1086.22,1,"t_m_07"
"sub-08","t_s_23_1.jpg",14,"far","paired","competing",1,"1_ITEM",1603.44,0,"t_s_23"
"sub-08","t_m_01_1.jpg",14,"far","paired","unique",1,"2_ITEM",1621.16,1,"t_m_01"
"sub-08","t_s_16_1.jpg",NA,"","single","competing",1,"1_ITEM",904.199999999997,1,"t_s_16"
"sub-08","t_i_15_1.jpg",14,"far","paired","unique",1,"num_miss",3000.10000000001,0,"t_i_15"
"sub-08","t_i_19_1.jpg",4,"close","paired","unique",1,"1_ITEM",1418.7,0,"t_i_19"
"sub-08","t_s_08_1.jpg",6,"close","paired","competing",1,"2_ITEM",1120.44,1,"t_s_08"
"sub-08","t_s_20_1.jpg",4,"close","paired","competing",1,"1_ITEM",1404.22,0,"t_s_20"
"sub-08","t_m_17_1.jpg",13,"far","paired","unique",1,"2_ITEM",1020.24000000001,1,"t_m_17"
"sub-08","t_m_18_1.jpg",4,"close","paired","unique",1,"2_ITEM",2685.98,1,"t_m_18"
"sub-08","t_s_10_1.jpg",14,"far","paired","competing",1,"2_ITEM",1154.56,1,"t_s_10"
"sub-08","t_i_14_1.jpg",NA,"","single","unique",1,"1_ITEM",1536.46,1,"t_i_14"
"sub-08","t_s_04_1.jpg",13,"far","paired","competing",1,"2_ITEM",1971.06,1,"t_s_04"
