"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-101","s_sh_04_1.jpg",NA,"","single","competing",1,"1_ITEM",1520.70000000001,1,"s_sh_04"
"sub-101","s_s_15_1.jpg",3,"close","paired","unique",1,"1_ITEM",1305.49999998213,0,"s_s_15"
"sub-101","s_sh_11_1.jpg",4,"close","paired","competing",1,"1_ITEM",1144.89999999997,0,"s_sh_11"
"sub-101","s_a_12_1.jpg",7,"close","paired","unique",1,"1_ITEM",1099.59999999998,0,"s_a_12"
"sub-101","s_s_19_1.jpg",4,"close","paired","unique",1,"1_ITEM",1525.80000000005,0,"s_s_19"
"sub-101","s_sh_18_1.jpg",NA,"","single","competing",1,"1_ITEM",856.5,1,"s_sh_18"
"sub-101","s_sh_16_1.jpg",14,"far","paired","competing",1,"1_ITEM",927.499999999942,0,"s_sh_16"
"sub-101","s_sh_23_1.jpg",16,"far","paired","competing",1,"2_ITEM",1360.40000000002,1,"s_sh_23"
"sub-101","s_sh_24_1.jpg",6,"close","paired","competing",1,"1_ITEM",1460.09999999998,0,"s_sh_24"
"sub-101","s_s_02_1.jpg",17,"far","paired","unique",1,"1_ITEM",978.400000000023,0,"s_s_02"
"sub-101","s_a_14_1.jpg",3,"close","paired","unique",1,"1_ITEM",1452.49999999406,0,"s_a_14"
"sub-101","s_sh_08_1.jpg",NA,"","single","competing",1,"1_ITEM",840.699999994016,1,"s_sh_08"
"sub-101","s_a_17_1.jpg",15,"far","paired","unique",1,"2_ITEM",1135.10000000597,1,"s_a_17"
"sub-101","s_sh_19_1.jpg",15,"far","paired","competing",1,"1_ITEM",2217.20000000001,0,"s_sh_19"
"sub-101","s_sh_07_1.jpg",15,"far","paired","competing",1,"2_ITEM",1267.39999998809,1,"s_sh_07"
"sub-101","s_s_01_1.jpg",16,"far","paired","unique",1,"1_ITEM",822.599999999977,0,"s_s_01"
"sub-101","s_a_16_1.jpg",16,"far","paired","unique",1,"2_ITEM",1571.10000000597,1,"s_a_16"
"sub-101","s_a_15_1.jpg",NA,"","single","unique",1,"1_ITEM",845.899999999965,1,"s_a_15"
"sub-101","s_s_11_1.jpg",NA,"","single","unique",1,"1_ITEM",1423.80000000598,1,"s_s_11"
"sub-101","s_sh_22_1.jpg",NA,"","single","competing",1,"1_ITEM",2354.89999999997,1,"s_sh_22"
"sub-101","s_sh_10_1.jpg",3,"close","paired","competing",1,"1_ITEM",2158.00000000006,0,"s_sh_10"
"sub-101","s_s_16_1.jpg",NA,"","single","unique",1,"1_ITEM",714.100000000035,1,"s_s_16"
"sub-101","t_m_05_1.jpg",NA,"","single","unique",1,"1_ITEM",1718.2,1,"t_m_05"
"sub-101","t_s_13_1.jpg",NA,"","single","competing",1,"1_ITEM",1040.29999998212,1,"t_s_13"
"sub-101","t_s_08_1.jpg",13,"far","paired","competing",1,"1_ITEM",1091.70000000001,0,"t_s_08"
"sub-101","t_s_15_1.jpg",NA,"","single","competing",1,"1_ITEM",1205.09999998211,1,"t_s_15"
"sub-101","t_s_24_1.jpg",NA,"","single","competing",1,"1_ITEM",853.899999999994,1,"t_s_24"
"sub-101","t_i_10_1.jpg",17,"far","paired","unique",1,"2_ITEM",2504.29999999999,1,"t_i_10"
"sub-101","t_s_20_1.jpg",17,"far","paired","competing",1,"1_ITEM",1392.50000000003,0,"t_s_20"
"sub-101","t_s_04_1.jpg",NA,"","single","competing",1,"1_ITEM",1207.20000000596,1,"t_s_04"
"sub-101","t_s_18_1.jpg",17,"far","paired","competing",1,"1_ITEM",978,0,"t_s_18"
"sub-101","t_m_18_1.jpg",14,"far","paired","unique",1,"1_ITEM",1489.2,0,"t_m_18"
"sub-101","t_i_04_1.jpg",3,"close","paired","unique",1,"1_ITEM",1720.00000000597,0,"t_i_04"
"sub-101","t_s_12_1.jpg",4,"close","paired","competing",1,"2_ITEM",1369.10000000596,1,"t_s_12"
"sub-101","t_m_06_1.jpg",6,"close","paired","unique",1,"1_ITEM",1323.5,0,"t_m_06"
"sub-101","t_m_03_1.jpg",4,"close","paired","unique",1,"1_ITEM",796.600000000006,0,"t_m_03"
"sub-101","t_i_01_1.jpg",NA,"","single","unique",1,"1_ITEM",740.299999994051,1,"t_i_01"
"sub-101","t_i_14_1.jpg",6,"close","paired","unique",1,"1_ITEM",1832.69999998211,0,"t_i_14"
"sub-101","t_s_06_1.jpg",3,"close","paired","competing",1,"1_ITEM",1128.19999999998,0,"t_s_06"
"sub-101","t_i_06_1.jpg",NA,"","single","unique",1,"1_ITEM",1840.90000000001,1,"t_i_06"
"sub-101","s_sh_01_1.jpg",NA,"","single","competing",1,"1_ITEM",1343.5,1,"s_sh_01"
"sub-101","s_sh_02_1.jpg",13,"far","paired","competing",1,"2_ITEM",1158.20000000595,1,"s_sh_02"
"sub-101","s_sh_20_1.jpg",NA,"","single","competing",1,"1_ITEM",912.5,1,"s_sh_20"
"sub-101","s_s_20_1.jpg",NA,"","single","unique",1,"1_ITEM",862.099999999919,1,"s_s_20"
"sub-101","s_sh_21_1.jpg",13,"far","paired","competing",1,"2_ITEM",1176.30000000005,1,"s_sh_21"
"sub-101","s_s_07_1.jpg",16,"far","paired","unique",1,"2_ITEM",1155.3999999821,1,"s_s_07"
"sub-101","s_s_06_1.jpg",NA,"","single","unique",1,"1_ITEM",2361,1,"s_s_06"
"sub-101","s_sh_15_1.jpg",7,"close","paired","competing",1,"1_ITEM",1077.09999999998,0,"s_sh_15"
"sub-101","s_a_19_1.jpg",13,"far","paired","unique",1,"1_ITEM",1321.60000000597,0,"s_a_19"
"sub-101","s_s_08_1.jpg",5,"close","paired","unique",1,"num_miss",3000.89999999999,0,"s_s_08"
"sub-101","s_sh_05_1.jpg",13,"far","paired","competing",1,"2_ITEM",1902.3999999821,1,"s_sh_05"
"sub-101","s_s_09_1.jpg",15,"far","paired","unique",1,"1_ITEM",911.899999999994,0,"s_s_09"
"sub-101","s_a_05_1.jpg",7,"close","paired","unique",1,"1_ITEM",806.800000005984,0,"s_a_05"
"sub-101","s_sh_17_1.jpg",NA,"","single","competing",1,"1_ITEM",1193.80000000005,1,"s_sh_17"
"sub-101","s_sh_09_1.jpg",NA,"","single","competing",1,"1_ITEM",1672.49999998807,1,"s_sh_09"
