"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-88","s_s_14_1.jpg",5,"close","paired","unique",1,"2_ITEM",1404.07999999996,1,"s_s_14"
"sub-88","s_a_15_1.jpg",15,"far","paired","unique",1,"1_ITEM",1279.02000000002,0,"s_a_15"
"sub-88","s_sh_23_1.jpg",NA,"","single","competing",1,"num_miss",2999.28000000003,0,"s_sh_23"
"sub-88","s_sh_24_1.jpg",17,"far","paired","competing",1,"2_ITEM",862.680000000051,1,"s_sh_24"
"sub-88","s_sh_09_1.jpg",4,"close","paired","competing",1,"2_ITEM",1258.85999999999,1,"s_sh_09"
"sub-88","s_s_11_1.jpg",17,"far","paired","unique",1,"1_ITEM",1462.80000000005,0,"s_s_11"
"sub-88","s_sh_04_1.jpg",6,"close","paired","competing",1,"2_ITEM",1610.72000000009,1,"s_sh_04"
"sub-88","s_s_04_1.jpg",NA,"","single","unique",1,"1_ITEM",1082.23999999999,1,"s_s_04"
"sub-88","s_a_03_1.jpg",6,"close","paired","unique",1,"2_ITEM",2585,1,"s_a_03"
"sub-88","s_sh_14_1.jpg",15,"far","paired","competing",1,"1_ITEM",1677.59999999998,0,"s_sh_14"
"sub-88","s_a_06_1.jpg",13,"far","paired","unique",1,"1_ITEM",1762.30000000005,0,"s_a_06"
"sub-88","s_sh_11_1.jpg",17,"far","paired","competing",1,"1_ITEM",2374.30000000005,0,"s_sh_11"
"sub-88","s_sh_10_1.jpg",14,"far","paired","competing",1,"2_ITEM",1242.76000000013,1,"s_sh_10"
"sub-88","s_sh_20_1.jpg",6,"close","paired","competing",1,"1_ITEM",2370.09999999998,0,"s_sh_20"
"sub-88","s_s_17_1.jpg",6,"close","paired","unique",1,"1_ITEM",1689.68000000005,0,"s_s_17"
"sub-88","s_sh_07_1.jpg",NA,"","single","competing",1,"1_ITEM",1452.80000000005,1,"s_sh_07"
"sub-88","s_sh_18_1.jpg",6,"close","paired","competing",1,"2_ITEM",1136.30000000005,1,"s_sh_18"
"sub-88","s_sh_02_1.jpg",NA,"","single","competing",1,"1_ITEM",1484.09999999998,1,"s_sh_02"
"sub-88","s_s_12_1.jpg",NA,"","single","unique",1,"1_ITEM",876.079999999958,1,"s_s_12"
