"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-38","s_s_11_1.jpg",6,"close","paired","unique",1,"1_ITEM",1045.10000014305,0,"s_s_11"
"sub-38","s_s_15_1.jpg",14,"far","paired","unique",1,"2_ITEM",1021.70000014306,1,"s_s_15"
"sub-38","s_sh_24_1.jpg",NA,"","single","competing",1,"1_ITEM",1319.90000000002,1,"s_sh_24"
"sub-38","s_sh_19_1.jpg",4,"close","paired","competing",1,"2_ITEM",1035.10000014305,1,"s_sh_19"
"sub-38","s_sh_12_1.jpg",NA,"","single","competing",1,"2_ITEM",885.600000047678,0,"s_sh_12"
"sub-38","s_s_19_1.jpg",16,"far","paired","unique",1,"2_ITEM",1246.00000009537,1,"s_s_19"
"sub-38","s_sh_07_1.jpg",3,"close","paired","competing",1,"2_ITEM",2202.60000004768,1,"s_sh_07"
"sub-38","s_a_14_1.jpg",14,"far","paired","unique",1,"2_ITEM",976.200000000012,1,"s_a_14"
"sub-38","s_sh_09_1.jpg",17,"far","paired","competing",1,"1_ITEM",1539.40000019074,0,"s_sh_09"
"sub-38","s_a_06_1.jpg",3,"close","paired","unique",1,"1_ITEM",1331.5,0,"s_a_06"
"sub-38","s_sh_20_1.jpg",17,"far","paired","competing",1,"1_ITEM",808.500000047672,0,"s_sh_20"
"sub-38","s_a_15_1.jpg",5,"close","paired","unique",1,"2_ITEM",1332.00000009537,1,"s_a_15"
"sub-38","s_sh_04_1.jpg",15,"far","paired","competing",1,"2_ITEM",849.600000000006,1,"s_sh_04"
"sub-38","s_sh_18_1.jpg",15,"far","paired","competing",1,"2_ITEM",1102.90000019074,1,"s_sh_18"
"sub-38","s_sh_11_1.jpg",NA,"","single","competing",1,"1_ITEM",2116.10000000001,1,"s_sh_11"
"sub-38","s_sh_13_1.jpg",NA,"","single","competing",1,"1_ITEM",1398.80000009536,1,"s_sh_13"
"sub-38","s_sh_23_1.jpg",3,"close","paired","competing",1,"2_ITEM",788.300000095391,1,"s_sh_23"
"sub-38","s_a_12_1.jpg",13,"far","paired","unique",1,"2_ITEM",885.700000190729,1,"s_a_12"
"sub-38","s_s_03_1.jpg",NA,"","single","unique",1,"1_ITEM",952.900000095367,1,"s_s_03"
"sub-38","s_s_14_1.jpg",NA,"","single","unique",1,"1_ITEM",978.100000000006,1,"s_s_14"
"sub-38","s_a_13_1.jpg",NA,"","single","unique",1,"1_ITEM",1531.40000009537,1,"s_a_13"
"sub-38","t_i_11_1.jpg",6,"close","paired","unique",1,"2_ITEM",1036.60000000001,1,"t_i_11"
"sub-38","t_m_11_1.jpg",7,"close","paired","unique",1,"1_ITEM",1304.79999999999,0,"t_m_11"
"sub-38","t_s_16_1.jpg",NA,"","single","competing",1,"1_ITEM",905.900000095367,1,"t_s_16"
"sub-38","t_i_02_1.jpg",NA,"","single","unique",1,"1_ITEM",1086.50000019073,1,"t_i_02"
"sub-38","t_i_04_1.jpg",15,"far","paired","unique",1,"2_ITEM",1084.80000009536,1,"t_i_04"
"sub-38","t_s_08_1.jpg",4,"close","paired","competing",1,"2_ITEM",842.900000047681,1,"t_s_08"
"sub-38","t_m_06_1.jpg",13,"far","paired","unique",1,"2_ITEM",893.300000143048,1,"t_m_06"
"sub-38","t_s_22_1.jpg",6,"close","paired","competing",1,"2_ITEM",894.800000190735,1,"t_s_22"
"sub-38","t_i_14_1.jpg",13,"far","paired","unique",1,"2_ITEM",890.000000190732,1,"t_i_14"
