"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-51","t_m_17_1.jpg",3,"close","paired","unique",1,"2_ITEM",1254.40000000299,1,"t_m_17"
"sub-51","t_i_10_1.jpg",15,"far","paired","unique",1,"2_ITEM",1696.60000000001,1,"t_i_10"
"sub-51","t_i_18_1.jpg",NA,"","single","unique",1,"1_ITEM",825.100000005972,1,"t_i_18"
"sub-51","t_m_07_1.jpg",NA,"","single","unique",1,"1_ITEM",1340.29999999999,1,"t_m_07"
"sub-51","t_i_13_1.jpg",3,"close","paired","unique",1,"1_ITEM",881.700000004465,0,"t_i_13"
"sub-51","t_m_03_1.jpg",NA,"","single","unique",1,"1_ITEM",1279.90000000299,1,"t_m_03"
"sub-51","t_i_19_1.jpg",16,"far","paired","unique",1,"2_ITEM",1124.8000000015,1,"t_i_19"
"sub-51","t_i_14_1.jpg",NA,"","single","unique",1,"1_ITEM",1662.00000000297,1,"t_i_14"
"sub-51","t_m_18_1.jpg",17,"far","paired","unique",1,"2_ITEM",1693.40000000596,1,"t_m_18"
"sub-51","t_s_22_1.jpg",3,"close","paired","competing",1,"2_ITEM",1130,1,"t_s_22"
"sub-51","t_m_01_1.jpg",7,"close","paired","unique",1,"2_ITEM",1076.7000000015,1,"t_m_01"
"sub-51","t_m_19_1.jpg",17,"far","paired","unique",1,"1_ITEM",1052.70000000298,0,"t_m_19"
"sub-51","t_s_06_1.jpg",14,"far","paired","competing",1,"2_ITEM",1396,1,"t_s_06"
"sub-51","t_s_18_1.jpg",7,"close","paired","competing",1,"2_ITEM",1129.40000000299,1,"t_s_18"
"sub-51","t_s_13_1.jpg",NA,"","single","competing",1,"1_ITEM",879.000000004482,1,"t_s_13"
"sub-51","t_i_15_1.jpg",5,"close","paired","unique",1,"2_ITEM",1476.40000000002,1,"t_i_15"
"sub-51","t_s_15_1.jpg",NA,"","single","competing",1,"1_ITEM",1660.60000000149,1,"t_s_15"
"sub-51","t_s_04_1.jpg",NA,"","single","competing",1,"1_ITEM",1047.50000000297,1,"t_s_04"
"sub-51","t_s_20_1.jpg",4,"close","paired","competing",1,"1_ITEM",2075.20000000595,0,"t_s_20"
"sub-51","t_s_24_1.jpg",NA,"","single","competing",1,"1_ITEM",846.60000000149,1,"t_s_24"
"sub-51","s_sh_24_1.jpg",17,"far","paired","competing",1,"2_ITEM",1378.40000000596,1,"s_sh_24"
"sub-51","s_sh_07_1.jpg",6,"close","paired","competing",1,"2_ITEM",1298.00000000597,1,"s_sh_07"
"sub-51","s_sh_04_1.jpg",NA,"","single","competing",1,"1_ITEM",2318.10000000596,1,"s_sh_04"
"sub-51","s_s_10_1.jpg",NA,"","single","unique",1,"1_ITEM",1180.90000000299,1,"s_s_10"
"sub-51","s_a_05_1.jpg",NA,"","single","unique",1,"1_ITEM",946.500000001484,1,"s_a_05"
"sub-51","s_a_10_1.jpg",6,"close","paired","unique",1,"2_ITEM",1741.10000000596,1,"s_a_10"
"sub-51","s_sh_14_1.jpg",13,"far","paired","competing",1,"2_ITEM",1351.10000000297,1,"s_sh_14"
"sub-51","s_s_01_1.jpg",13,"far","paired","unique",1,"2_ITEM",1685.70000000446,1,"s_s_01"
"sub-51","s_sh_16_1.jpg",5,"close","paired","competing",1,"2_ITEM",1845.40000000298,1,"s_sh_16"
"sub-51","s_s_02_1.jpg",14,"far","paired","unique",1,"2_ITEM",1023.3,1,"s_s_02"
"sub-51","s_s_15_1.jpg",NA,"","single","unique",1,"1_ITEM",1059.80000000299,1,"s_s_15"
"sub-51","s_sh_22_1.jpg",NA,"","single","competing",1,"1_ITEM",2202.30000000596,1,"s_sh_22"
"sub-51","s_sh_11_1.jpg",16,"far","paired","competing",1,"2_ITEM",1249.2,1,"s_sh_11"
"sub-51","s_a_17_1.jpg",13,"far","paired","unique",1,"2_ITEM",2370.60000000597,1,"s_a_17"
"sub-51","s_a_20_1.jpg",7,"close","paired","unique",1,"2_ITEM",1470.40000000298,1,"s_a_20"
"sub-51","s_sh_10_1.jpg",16,"far","paired","competing",1,"2_ITEM",1090.70000000149,1,"s_sh_10"
"sub-51","s_sh_18_1.jpg",NA,"","single","competing",1,"1_ITEM",1608.00000000448,1,"s_sh_18"
"sub-51","s_a_16_1.jpg",14,"far","paired","unique",1,"2_ITEM",1408.10000000001,1,"s_a_16"
"sub-51","s_a_14_1.jpg",NA,"","single","unique",1,"1_ITEM",794.100000000006,1,"s_a_14"
"sub-51","s_sh_23_1.jpg",7,"close","paired","competing",1,"2_ITEM",1216.90000000448,1,"s_sh_23"
"sub-51","s_sh_08_1.jpg",NA,"","single","competing",1,"1_ITEM",1800.20000000298,1,"s_sh_08"
"sub-51","s_s_12_1.jpg",4,"close","paired","unique",1,"2_ITEM",1077.90000000448,1,"s_s_12"
"sub-51","s_sh_19_1.jpg",5,"close","paired","competing",1,"2_ITEM",2441.00000000297,1,"s_sh_19"
"sub-51","s_s_05_1.jpg",4,"close","paired","unique",1,"1_ITEM",1692.20000000298,0,"s_s_05"
"sub-51","t_i_20_1.jpg",15,"far","paired","unique",1,"2_ITEM",2030.70000000446,1,"t_i_20"
"sub-51","t_s_17_1.jpg",3,"close","paired","competing",1,"2_ITEM",1217.79999999999,1,"t_s_17"
"sub-51","t_i_16_1.jpg",NA,"","single","unique",1,"1_ITEM",1199.70000000446,1,"t_i_16"
"sub-51","t_s_19_1.jpg",NA,"","single","competing",1,"1_ITEM",889.599999999977,1,"t_s_19"
"sub-51","t_i_05_1.jpg",3,"close","paired","unique",1,"1_ITEM",957.100000004459,0,"t_i_05"
"sub-51","t_m_16_1.jpg",16,"far","paired","unique",1,"2_ITEM",1489.30000000447,1,"t_m_16"
"sub-51","t_m_06_1.jpg",NA,"","single","unique",1,"1_ITEM",1558.70000000298,1,"t_m_06"
"sub-51","t_i_08_1.jpg",14,"far","paired","unique",1,"1_ITEM",1820.50000000297,0,"t_i_08"
"sub-51","t_i_09_1.jpg",7,"close","paired","unique",1,"2_ITEM",1605.90000000448,1,"t_i_09"
"sub-51","t_m_12_1.jpg",5,"close","paired","unique",1,"2_ITEM",1850,1,"t_m_12"
"sub-51","t_m_15_1.jpg",15,"far","paired","unique",1,"2_ITEM",1366.100000003,1,"t_m_15"
"sub-51","t_s_16_1.jpg",15,"far","paired","competing",1,"num_miss",3003,0,"t_s_16"
"sub-51","t_s_03_1.jpg",17,"far","paired","competing",1,"1_ITEM",1194.600000003,0,"t_s_03"
"sub-51","t_s_05_1.jpg",4,"close","paired","competing",1,"2_ITEM",1135.00000000448,1,"t_s_05"
"sub-51","t_s_09_1.jpg",14,"far","paired","competing",1,"2_ITEM",993.800000002986,1,"t_s_09"
"sub-51","t_m_02_1.jpg",4,"close","paired","unique",1,"2_ITEM",2228.40000000445,1,"t_m_02"
"sub-51","t_s_14_1.jpg",15,"far","paired","competing",1,"1_ITEM",1529.00000000297,0,"t_s_14"
"sub-51","t_s_11_1.jpg",7,"close","paired","competing",1,"2_ITEM",1005.40000000445,1,"t_s_11"
"sub-51","t_s_10_1.jpg",NA,"","single","competing",1,"1_ITEM",1779,1,"t_s_10"
"sub-51","t_i_04_1.jpg",NA,"","single","unique",1,"1_ITEM",1293.40000000148,1,"t_i_04"
"sub-51","t_s_23_1.jpg",NA,"","single","competing",1,"1_ITEM",965.500000001484,1,"t_s_23"
"sub-51","t_s_01_1.jpg",NA,"","single","competing",1,"1_ITEM",1311.39999999999,1,"t_s_01"
"sub-51","t_m_08_1.jpg",NA,"","single","unique",1,"1_ITEM",1846.50000000151,1,"t_m_08"
"sub-51","s_sh_02_1.jpg",7,"close","paired","competing",1,"2_ITEM",980.900000001478,1,"s_sh_02"
"sub-51","s_s_08_1.jpg",NA,"","single","unique",1,"1_ITEM",922.300000001502,1,"s_s_08"
"sub-51","s_a_18_1.jpg",NA,"","single","unique",1,"1_ITEM",1057.40000000448,1,"s_a_18"
"sub-51","s_s_19_1.jpg",NA,"","single","unique",1,"1_ITEM",1362.70000000596,1,"s_s_19"
"sub-51","s_s_04_1.jpg",4,"close","paired","unique",1,"2_ITEM",2649.5,1,"s_s_04"
"sub-51","s_sh_03_1.jpg",7,"close","paired","competing",1,"2_ITEM",1129.50000000597,1,"s_sh_03"
"sub-51","s_a_02_1.jpg",13,"far","paired","unique",1,"2_ITEM",1102.50000000298,1,"s_a_02"
"sub-51","s_sh_12_1.jpg",17,"far","paired","competing",1,"2_ITEM",1130.20000000298,1,"s_sh_12"
"sub-51","s_sh_15_1.jpg",17,"far","paired","competing",1,"2_ITEM",1397.2000000015,1,"s_sh_15"
"sub-51","s_a_04_1.jpg",4,"close","paired","unique",1,"2_ITEM",1524.70000000298,1,"s_a_04"
"sub-51","s_sh_01_1.jpg",NA,"","single","competing",1,"1_ITEM",1383.60000000297,1,"s_sh_01"
"sub-51","s_sh_06_1.jpg",13,"far","paired","competing",1,"2_ITEM",1595.50000000298,1,"s_sh_06"
"sub-51","s_s_07_1.jpg",14,"far","paired","unique",1,"2_ITEM",1588.50000000149,1,"s_s_07"
"sub-51","s_a_11_1.jpg",6,"close","paired","unique",1,"2_ITEM",1945,1,"s_a_11"
"sub-51","s_sh_21_1.jpg",6,"close","paired","competing",1,"2_ITEM",2171.10000000297,1,"s_sh_21"
"sub-51","s_s_09_1.jpg",14,"far","paired","unique",1,"2_ITEM",1157.70000000446,1,"s_s_09"
"sub-51","s_sh_13_1.jpg",16,"far","paired","competing",1,"2_ITEM",1684.70000000596,1,"s_sh_13"
"sub-51","s_a_19_1.jpg",15,"far","paired","unique",1,"1_ITEM",1633.60000000297,0,"s_a_19"
"sub-51","s_a_12_1.jpg",NA,"","single","unique",1,"1_ITEM",1077.10000000447,1,"s_a_12"
"sub-51","s_s_18_1.jpg",6,"close","paired","unique",1,"2_ITEM",1399.60000000149,1,"s_s_18"
"sub-51","s_sh_05_1.jpg",4,"close","paired","competing",1,"1_ITEM",1717.70000000001,0,"s_sh_05"
"sub-51","s_sh_17_1.jpg",NA,"","single","competing",1,"1_ITEM",1202.80000000299,1,"s_sh_17"
"sub-51","s_sh_09_1.jpg",NA,"","single","competing",1,"1_ITEM",958.400000002992,1,"s_sh_09"
"sub-51","s_sh_20_1.jpg",NA,"","single","competing",1,"1_ITEM",1639.60000000149,1,"s_sh_20"
