"sub","image_file_stim1","pair_dist","within_block_dist","paired_status","condition","acc","temp_dist_resp","temp_rt","temp_acc","image_stem"
"sub-57","t_s_11_1.jpg",NA,"","single","competing",1,"1_ITEM",1305.1999999999,1,"t_s_11"
"sub-57","t_i_01_1.jpg",NA,"","single","unique",1,"1_ITEM",1766.59999999998,1,"t_i_01"
"sub-57","t_s_08_1.jpg",NA,"","single","competing",1,"num_miss",3000,0,"t_s_08"
"sub-57","t_m_05_1.jpg",NA,"","single","unique",1,"1_ITEM",1987.79999999981,1,"t_m_05"
"sub-57","t_m_13_1.jpg",NA,"","single","unique",1,"1_ITEM",1189.90000000008,1,"t_m_13"
"sub-57","t_i_19_1.jpg",6,"close","paired","unique",1,"1_ITEM",1088.19999999984,0,"t_i_19"
"sub-57","t_m_03_1.jpg",16,"far","paired","unique",1,"1_ITEM",1753.09999999992,0,"t_m_03"
"sub-57","t_m_18_1.jpg",4,"close","paired","unique",1,"2_ITEM",2342.60000000001,1,"t_m_18"
"sub-57","t_i_14_1.jpg",15,"far","paired","unique",1,"1_ITEM",1204.79999999981,0,"t_i_14"
"sub-57","t_i_04_1.jpg",13,"far","paired","unique",1,"2_ITEM",1459.0999999998,1,"t_i_04"
"sub-57","t_m_06_1.jpg",16,"far","paired","unique",1,"2_ITEM",1271.09999999998,1,"t_m_06"
"sub-57","t_i_10_1.jpg",7,"close","paired","unique",1,"1_ITEM",1727.20000000007,0,"t_i_10"
"sub-57","t_s_05_1.jpg",NA,"","single","competing",1,"1_ITEM",1011.5,1,"t_s_05"
"sub-57","t_s_24_1.jpg",14,"far","paired","competing",1,"2_ITEM",1714.0999999998,1,"t_s_24"
"sub-57","t_i_06_1.jpg",NA,"","single","unique",1,"1_ITEM",2708.99999999971,1,"t_i_06"
"sub-57","t_s_22_1.jpg",NA,"","single","competing",1,"1_ITEM",1159.70000000001,1,"t_s_22"
"sub-57","s_sh_18_1.jpg",16,"far","paired","competing",1,"2_ITEM",1586.60000000009,1,"s_sh_18"
"sub-57","s_sh_02_1.jpg",NA,"","single","competing",1,"1_ITEM",1399.79999999999,1,"s_sh_02"
"sub-57","s_sh_24_1.jpg",3,"close","paired","competing",1,"2_ITEM",1516.39999999973,1,"s_sh_24"
"sub-57","s_a_07_1.jpg",NA,"","single","unique",1,"1_ITEM",1749.8,1,"s_a_07"
"sub-57","s_sh_11_1.jpg",3,"close","paired","competing",1,"2_ITEM",1170.09999999971,1,"s_sh_11"
"sub-57","s_a_14_1.jpg",15,"far","paired","unique",1,"1_ITEM",960.399999999994,0,"s_a_14"
"sub-57","s_s_11_1.jpg",NA,"","single","unique",1,"1_ITEM",2165.6,1,"s_s_11"
"sub-57","s_s_15_1.jpg",15,"far","paired","unique",1,"2_ITEM",1762.49999999991,1,"s_s_15"
"sub-57","s_sh_20_1.jpg",15,"far","paired","competing",1,"2_ITEM",1494.49999999971,1,"s_sh_20"
"sub-57","s_sh_09_1.jpg",16,"far","paired","competing",1,"2_ITEM",1146.99999999991,1,"s_sh_09"
"sub-57","s_a_16_1.jpg",6,"close","paired","unique",1,"1_ITEM",1695,0,"s_a_16"
"sub-57","s_sh_10_1.jpg",7,"close","paired","competing",1,"2_ITEM",1730.99999999991,1,"s_sh_10"
"sub-57","s_a_15_1.jpg",NA,"","single","unique",1,"1_ITEM",1071.79999999999,1,"s_a_15"
"sub-57","s_a_17_1.jpg",7,"close","paired","unique",1,"1_ITEM",1391.60000000009,0,"s_a_17"
"sub-57","s_s_19_1.jpg",14,"far","paired","unique",1,"1_ITEM",985.699999999721,0,"s_s_19"
"sub-57","s_a_12_1.jpg",14,"far","paired","unique",1,"2_ITEM",1415.60000000001,1,"s_a_12"
"sub-57","s_sh_04_1.jpg",14,"far","paired","competing",1,"2_ITEM",1191.1999999999,1,"s_sh_04"
"sub-57","s_sh_23_1.jpg",NA,"","single","competing",1,"2_ITEM",1777.39999999972,0,"s_sh_23"
"sub-57","s_s_01_1.jpg",7,"close","paired","unique",1,"1_ITEM",1288.5,0,"s_s_01"
"sub-57","s_s_16_1.jpg",NA,"","single","unique",1,"1_ITEM",1549.80000000009,1,"s_s_16"
"sub-57","s_sh_07_1.jpg",NA,"","single","competing",1,"1_ITEM",1479.3000000001,1,"s_sh_07"
"sub-57","s_s_02_1.jpg",5,"close","paired","unique",1,"1_ITEM",1206.49999999981,0,"s_s_02"
"sub-57","s_sh_14_1.jpg",4,"close","paired","competing",1,"2_ITEM",1319.20000000001,1,"s_sh_14"
"sub-57","s_sh_03_1.jpg",NA,"","single","competing",1,"1_ITEM",1193.50000000009,1,"s_sh_03"
"sub-57","t_s_16_1.jpg",6,"close","paired","competing",1,"2_ITEM",1005.40000000008,1,"t_s_16"
"sub-57","t_i_16_1.jpg",14,"far","paired","unique",1,"1_ITEM",1205.99999999971,0,"t_i_16"
"sub-57","t_s_13_1.jpg",15,"far","paired","competing",1,"2_ITEM",1357.2999999997,1,"t_s_13"
"sub-57","t_m_15_1.jpg",6,"close","paired","unique",1,"1_ITEM",1126.5,0,"t_m_15"
"sub-57","t_i_08_1.jpg",3,"close","paired","unique",1,"2_ITEM",1702.10000000001,1,"t_i_08"
"sub-57","t_s_09_1.jpg",5,"close","paired","competing",1,"2_ITEM",1157.90000000002,1,"t_s_09"
"sub-57","t_s_18_1.jpg",NA,"","single","competing",1,"1_ITEM",881.299999999901,1,"t_s_18"
"sub-57","t_i_18_1.jpg",15,"far","paired","unique",1,"2_ITEM",1937.20000000001,1,"t_i_18"
"sub-57","t_i_12_1.jpg",NA,"","single","unique",1,"1_ITEM",1525.90000000008,1,"t_i_12"
"sub-57","t_s_20_1.jpg",NA,"","single","competing",1,"1_ITEM",2986.60000000009,1,"t_s_20"
"sub-57","t_s_19_1.jpg",15,"far","paired","competing",1,"2_ITEM",1915.59999999992,1,"t_s_19"
"sub-57","t_s_14_1.jpg",3,"close","paired","competing",1,"2_ITEM",1364.5999999998,1,"t_s_14"
"sub-57","t_m_16_1.jpg",6,"close","paired","unique",1,"2_ITEM",1356.00000000012,1,"t_m_16"
"sub-57","t_s_03_1.jpg",7,"close","paired","competing",1,"1_ITEM",1856.49999999971,0,"t_s_03"
"sub-57","t_m_08_1.jpg",13,"far","paired","unique",1,"2_ITEM",1082.00000000012,1,"t_m_08"
"sub-57","t_i_20_1.jpg",6,"close","paired","unique",1,"2_ITEM",1220.79999999981,1,"t_i_20"
"sub-57","t_s_07_1.jpg",NA,"","single","competing",1,"1_ITEM",1156.5,1,"t_s_07"
"sub-57","t_m_09_1.jpg",NA,"","single","unique",1,"1_ITEM",1380.89999999999,1,"t_m_09"
"sub-57","t_m_11_1.jpg",NA,"","single","unique",1,"1_ITEM",1447.39999999982,1,"t_m_11"
"sub-57","t_i_11_1.jpg",NA,"","single","unique",1,"1_ITEM",1116.29999999993,1,"t_i_11"
"sub-57","t_s_17_1.jpg",NA,"","single","competing",1,"1_ITEM",2495.39999999973,1,"t_s_17"
"sub-57","s_sh_21_1.jpg",NA,"","single","competing",1,"2_ITEM",1374.59999999972,0,"s_sh_21"
"sub-57","s_a_18_1.jpg",17,"far","paired","unique",1,"2_ITEM",1194.50000000009,1,"s_a_18"
"sub-57","s_a_05_1.jpg",14,"far","paired","unique",1,"2_ITEM",2110.99999999972,1,"s_a_05"
"sub-57","s_sh_12_1.jpg",6,"close","paired","competing",1,"2_ITEM",1309.00000000009,1,"s_sh_12"
"sub-57","s_sh_22_1.jpg",17,"far","paired","competing",1,"2_ITEM",1403.89999999999,1,"s_sh_22"
"sub-57","s_a_02_1.jpg",6,"close","paired","unique",1,"1_ITEM",1343.39999999982,0,"s_a_02"
"sub-57","s_s_09_1.jpg",7,"close","paired","unique",1,"2_ITEM",1229.89999999991,1,"s_s_09"
"sub-57","s_s_20_1.jpg",NA,"","single","unique",1,"2_ITEM",2043.10000000009,0,"s_s_20"
"sub-57","s_s_06_1.jpg",NA,"","single","unique",1,"2_ITEM",1582.9000000001,0,"s_s_06"
"sub-57","s_sh_05_1.jpg",NA,"","single","competing",1,"1_ITEM",1049.99999999997,1,"s_sh_05"
"sub-57","s_sh_15_1.jpg",6,"close","paired","competing",1,"2_ITEM",1259.3000000001,1,"s_sh_15"
"sub-57","s_sh_01_1.jpg",13,"far","paired","competing",1,"2_ITEM",2443.20000000009,1,"s_sh_01"
"sub-57","s_s_08_1.jpg",14,"far","paired","unique",1,"2_ITEM",1755.70000000001,1,"s_s_08"
"sub-57","s_sh_06_1.jpg",3,"close","paired","competing",1,"2_ITEM",1287.29999999981,1,"s_sh_06"
"sub-57","s_s_07_1.jpg",4,"close","paired","unique",1,"2_ITEM",1491.99999999981,1,"s_s_07"
"sub-57","s_sh_13_1.jpg",3,"close","paired","competing",1,"2_ITEM",1462.19999999981,1,"s_sh_13"
"sub-57","s_a_01_1.jpg",NA,"","single","unique",1,"1_ITEM",1088.9000000001,1,"s_a_01"
"sub-57","s_a_19_1.jpg",6,"close","paired","unique",1,"2_ITEM",1110.59999999982,1,"s_a_19"
"sub-57","s_sh_19_1.jpg",NA,"","single","competing",1,"1_ITEM",2333.1,1,"s_sh_19"
"sub-57","s_a_06_1.jpg",NA,"","single","unique",1,"1_ITEM",1748.2,1,"s_a_06"
"sub-57","s_sh_16_1.jpg",NA,"","single","competing",1,"2_ITEM",1427.2,0,"s_sh_16"
"sub-57","s_s_10_1.jpg",17,"far","paired","unique",1,"2_ITEM",1458.29999999973,1,"s_s_10"
